StartDate,EndDate,Duration (in seconds),RecordedDate,Uid,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q28_10,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q41,Q38,Q42,Q39,Q40,Q43,Q44,Q45,Q50,Q51,Q46,Q47,Q48,Q49,reoi
3/5/24 11:18,3/5/24 11:22,237,3/5/24 11:22,t0002@sreflect,2,1,4,2,2,4,4,2,3,2,2,2,3,4,3,4,3,2,3,3,1,1,1,I think my reflections were shallower due to the character limit and the specific nature of the questions limiting my responses. ,Not really. ,n/a,n/a,They could be more open-ended.,"I liked it when it was fairly accurate about my whereabouts, but it was often confused about the nature of what I do in said location. ","It would be helpful to ask participants where they work, so that the app does not confuse paid time with leisure time. ",,2
3/7/24 16:51,3/7/24 17:14,1410,3/7/24 17:14,t0022@sreflect,3,1,5,1,4,2,4,1,3,2,2,2,4,5,4,3,2,4,4,3,1,1,1,"Unfortunately, I find my MindScape journal prompts to have less depth and lower quality than my normal journals, for two main reasons: first, the length is limited to 500 characters, so while that makes it much easier to complete a journal each night, my thoughts are concurrently more limited. Second, I find a lot of the prompts to not really reflect my day-to-day experience. This is because the app tends to see trends or differences in my behavior when there isn't a particular cause behind them. For example, I've gotten a few questions about why I think my texting or calling behavior has changed, and I can only reply that it's because of natural fluctuations. I didn't purposely change that behavior, and when viewed over a longer span of time the behavior isn't really changing. It's just in one day I happened to get a call from my mom and a friend, and the other day I didn't. Also, the location data isn't entirely accurate, so sometimes the app will think I'm in my dorm when really I'm in my house's kitchen, or that I'm in a friend's dorm when really I'm at the climbing gym. It's hard to resolve those issues for sure, but it ends up generating prompts that don't really apply to what my daily experience was.","There was one prompt that really resonated with me, and it was about changes to my walking routine. The app couldn't have recognized this, but I've recently started a meditative practice when I'm walking from class to class. About a week or two after I started it, I got a question from the app about my walking routine, and it gave me an opportunity to reflect on how the meditative practice had been going!","There have been a few times where, when I'm using my phone, I'll see the little green light that pops up on Android to let the user know that their phone's microphone is being used. Every time I see that little light, I'm prompted to think about whether my current device usage is reflecting what I want it to. There have been a few times where I'm scrolling through Instagram, I see that light pop up, and I decide to move on from the phone use and to the rest of my day.",N/A,"This may improve just with more usage, but having the app use data from a longer period of time would definitely help in producing more relevant prompts. Also, making the location data more specific might help as well. I'm not sure if this would be possible, but maybe having the app access a phone's usage history instead of just using the data it collects after it's installed? That might help limit the number of prompts that come about as a result of superficial or ephemeral trends.","Love the ease of use of the app. Super simple to click on the notification and complete the journaling and check in practices. Not a huge fan of the journal prompts, as I haven't found them to be entirely relevant to my personal experience. But I think that, as the app gathers more data about my daily habits, those are likely to improve. I think the idea of personally-tailored journaling prompts is an incredibly promising one!","Ability to see your responses to past journal questions, perhaps a summary of your phone's usage data, ability to create custom maps so the app can properly identify which location you're in (like maybe you can select and label specific regions on a google map for locations you frequently visit)","Love the idea so far, looking forward to seeing how it continues to progress!",25
3/11/24 5:53,3/11/24 6:11,1073,3/11/24 6:11,t0016@sreflect,2,1,5,2,3,2,5,2,4,2,3,2,2,4,4,2,1,2,4,0,2,1,1,"The questions for journaling are helpful in getting me to ""talk"" or write, but they mislead me a bit from what I really want or need to journal about. ",I liked the ones that encouraged me to plan ahead. What are you going to do this week to get more exercise? -- as an example. This made me think about it and set goals. ,"Not much change at all, but I do make sure I am journaling at the same time as I brush my teeth each night and this works well for me because it rides on the idea of matched routines or developing habits which I think would be very helpful for my life and well-being overall. ","The check-ins are not accurate enough to be useful at all. The check-ins seem to assume that whenever I am talking it's social, but I work and go to school and have kids so none of this is what I consider social and that's the majority of my time. I haven't made any changes and haven't been inspired to make changes other than the one I mentioned about a journaling time. The 8pm time coupled with teeth brushing has been nice and I would miss that. I almost think I could do just that part of the app every day if it was a reflection that I record each day. Perhaps something more targeting to recording process on a goal.","They are only ok, but I wonder if (as I just mentioned) they could be more of a prompt to reflect on goal progress rather than guesses about what I did that day. So, for instance, have us set some goals at the start of the session (or month) and then prompt us to record progress each evening and reflect on that progress or lack of progress. I believe that would be far more helpful to me. I also found the weekly assessments to be a complete bore and felt like  chore. But could those be a metric more related to my goals?  How did you sleep from 1 to 5? How much did you walk/run from 1 to 5? How much did you strength train? etc.","I like the evening journaling, I did not like the weekly assessments at all (absolutely the worst timing ever to come on a Sunday which is like a day off and usually a day to be out having fun not doing weird phone chores). I found the breathe in and out thing to be meh. I really didn't find any benefit to it. Same with the check-ins. Not hard but not helpful. ",Goal Setting!,"There were a few questions when I first got started. Like were the check-ins supposed to be accurate or just close enough?  Am I ""liking"" them or agreeing with them?  I'm still a little unsure of that. And sometimes submitting the journal is confusing. But I think I got the hang of all that fairly quickly.  ",6
3/11/24 6:59,3/11/24 7:05,406,3/11/24 7:05,t0009@sreflect,4,2,4,1,4,3,5,1,4,1,3,4,5,5,5,4,4,4,5,0,1,1,1,"Sometimes the AI thought that me watching YouTube videos on my phone was me having a conversation, but aside from that I find it very helpful.",My habits of communication. I prefer texting to calling.,N/A,"It hasn't, which I sort of like because a lot of time I don't have to think about my thoughts. I'm busy and the simplicity of the app helps. And Journaling at night is great because I am free then to reflect",Maybe allow us to pick from multiple ai prompts?,"I like it, it doesn't disturb my schedule and I like the breathing exercises ",Like I said picking from maybe 2 AI prompts,Maybe the ability to distinguish from person conversations to media watching?,4
3/11/24 8:00,3/11/24 8:07,397,3/11/24 8:07,t0019@sreflect,4,2,5,1,4,2,4,2,4,1,3,3,4,5,4,4,4,3,4,4,2,2,1,N/A,"A lot of the prompts remind me that I have not been socializing in person as much, which has lead to me reaching out to friends I do not see as often. ",N/A,"It's lead me to try and prioritize working out and socializing in person both a bit more. These are things I want to do, but the prompts are good reminders. ","I think if they could be a bit more specific, and vary a bit more, it would be helpful. I know my day to day routine doesn't change a ton, but the prompts seeming the same every day can be a little frustrating. But that hasn't stopped me from answering them, so I guess it isn't terrible. ",I like the overall simplicity of the app. I thought it was more complicated than it actually is. ,"I would really like if there was a way to set when you would like the check ins to be, or at least your core hours. I'm often asleep or in bed and off my phone by the time the 9pm journal hits, and I think I've only hit the 11pm (or 11:30pm) check in once. I'm also well awake and into my day when the first check in hits. However if I could just move everything forward a few hours, I'd be able to hit them all.",,16
3/11/24 7:46,3/11/24 8:08,1304,3/11/24 8:08,t0003@sreflect,5,1,4,2,5,1,5,1,5,2,3,4,3,4,4,5,5,4,5,0,1,3,3,"With time, I have noticed that I reflect more  earnestly and compare my current state with the previous ones. This gives me clear insights on my mental and physical well being.","The app has been accurately keeping track my changes in work routines, especially how often are change my work spaces. It has also been accurately monitoring my social life dynamics. This allows me to take time and reflect on how these changes are affecting my overall work performance.","The app accurately monitored changes in my daily routines, like changing workspaces, having more or less in person and online conversations.",N/A,I think enabling the app to give recommendations on how to improve the user's well being would be helpful.,I think the prompts a little too frequent and the weekly surveys are too long.,"Less prompts, less redundant questions.",N/A,19
3/11/24 9:25,3/11/24 9:50,1542,3/11/24 9:50,t0006@sreflect,4,1,5,1,4,2,5,1,5,1,4,3,4,5,5,4,4,4,5,5,3,3,1,"Previously, it used to be cumbersome for me to journal properly as I'd have to sit and recollect everything that happened in a day. Often I would forget some things or won't have motivation to write. With Mindscape i found journaling more fun and interactive.",The prompts made me conscious of how much I interacted socially or did something physically in a day. It often made me think of the people I interacted with and how chatty I was with people. To an extend it helped me understand how my mood shifted throughout the week!,"Often when I would be mindlessly scrolling through social media, a prompt from the app about not interacting with people or getting up from my bed prompted me to change what I was doing.","I greatly appreciate my daily activities now. I consciously make plans with my friends to catch up with them and try to stay physically more active so that I am in a better mood!
 ",A suggestion I have is to add activities or very simple tasks to the prompts when not a lot of social interaction or movement is detected. There should be an option to ignore it or complete the task.,"I liked how simple it was to use and that it prompted me to answer the questions, instead of making me open the app and do the task. I also enjoyed the personalized prompts and how I only had to write short pieces for the journal. ",I would love to see small tasks added to the prompts which can motivate people to walk around. Tasks like 'did you get chance to soak up some sunlight today?' or 'text your mom you miss her' or 'grab a coffee today just because'!,I enjoy using the app! thanks,5
3/11/24 11:41,3/11/24 12:06,1505,3/11/24 12:06,t0013@sreflect,3,2,4,2,4,2,4,2,4,1,2,1,3,3,4,3,2,2,4,4,1,4,3,"The context-aware prompts pull out surprising trends that I may not have noticed and asks me to reflect on it. On the flip side, sometimes, it asks me to reflect on something that the program doesn't understand, and it becomes more like a doubt clarification session than a reflection. ","Yes, I remember one prompt told me about how I've been constantly moving from place to place and probably getting less sleep. I wouldn't have noticed that by myself","Yes, I started paying more attention to my sleeping patterns",N/A,"Making more out of the information it gathers- such as how a person answer prompts, text or audio analysis to understand the person's characteristics and provide more personality related prompts rather than just lifestyle related would be helpful. Also the prompts should try and nudge behaviour towards certain concepts proven to improve wellbeing if more attention is directed towards them such as gratefulness etc.","The shorter prompts were very off, most of the time they can be improved by a lot or removed altogether as they added little value, but the longer reflection can be made more enticing. I liked the breathing exercise but often that hindered me from wanting to use the app when there's people around me. I liked the general idea of the app but think that the value I gain from it can be increased a lot if were more personalized,i.e, understood me better.","I didn't like the UI, I feel like if it was better, it would make me want to interact on the app (for longer journals) more.",,28
3/11/24 13:47,3/11/24 14:04,993,3/11/24 14:04,t0011@sreflect,2,2,4,1,3,3,4,2,5,1,3,2,3,4,3,2,2,1,4,0,1,3,2,N/A,"I find it hard to think of any if such detail, but it has happened a couple of times",N/A,"It has made me more aware of small positive interaction I've had through the day a couple of times. By the time I was back at home and answering the promts I had already stopped thinking and appriciating them, and the app brought those moments a bit closer again.","Most of the promts I got were about the balance between digital and in person interactions. These comparisons were just not very interesting to me. In addition the app, and thus the promts I got were often just wrong in catagorizing my activities. For example when I was prompted to reflext on the ""walk"" I had done that day, which was only walking from the parking lot to my workplace. Many promts also centered on ""more"" or ""less"" digital/in person interactions compared to what supposedly my baseline was, while pretty much always there was no notable difference",I already kind of answered this in the previous question,"It would have to be more accurate in identifying what my actual activities are, and give more varied promts. Also, it would be a good idea when the daily activities were kind of the same as most other days to give an interesting general question to answer or reflext on, instead of the personalized promts. One other critisism about the short tumbs up/down check ins: These were often structured in the following way: it seems like you did X today, did that make you feel Y? The thumbs up/down format is not able to to differentiate between a thumbs down because I did not actually do X, or because I did not feel Y. Some sort of ""I did not do this"" response would have been usefull, and could have allowed the daily journaling promt to be more accurate",,18
3/12/24 9:14,3/12/24 9:20,353,3/12/24 9:20,t0004@sreflect,2,2,4,1,4,4,5,2,4,1,3,2,2,5,3,3,2,2,3,4,2,3,1,"I think that I can more easily decide what to write about with a prompt, but I don't know if I access my feelings in the same way as a free-form journal.",I think that the prompts that ask you to recount an impactful conversation you had were probably the more enlightening prompts.,N/A,N/A,I think that asking questions that are more specific or feeling-oriented would spur more reflective journaling.,"I think the app was simple to use, but it drained my battery a lot.",I don't know!,N/A,8
