uid,gender,journaling_exp,student_status,,race,race_actual
t0002@sreflect,Female,Yes,ug,,Other,Other
t0003@sreflect,Male,No,g,,Black,Black
t0004@sreflect,Male,Yes,ug,,White,White
t0005@sreflect,Female,Yes,ug,,White,White
t0006@sreflect,Female,Yes,g,,Asian,Asian
t0007@sreflect,Female,Yes,ug,,Asian,Asian
t0008@sreflect,Female,Yes,g,,Black,Black
t0009@sreflect,Female,Yes,g,,Other,Multiple
t0010@sreflect,Female,No,g,,White,White
t0011@sreflect,Male,No,g,,White,White
t0012@sreflect,Male,No,g,,Asian,Asian
t0013@sreflect,Female,Yes,g,,Asian,Asian
t0014@sreflect,Male,Yes,g,,Other,Multiple
t0015@sreflect,Male,Yes,ug,,Black,Black
t0016@sreflect,Female,Yes,g,,Other,Multiple
t0017@sreflect,Female,Yes,g,,Asian,Asian
t0018@sreflect,Non-binary,No,ug,,White,White
t0019@sreflect,Female,No,g,,White,White
t0020@sreflect,Female,Yes,ug,,Black,Black
t0022@sreflect,Male,Yes,ug,,White,White
