,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,Your mobile trends show less phone use and decreased social engagement. Could this be a purposeful digital detox? How has it impacted your social life?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
1,You've embraced more face-to-face chats and less screen time. How's this new social rhythm shaping your day?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.8781606926427243,False
2,"Seeing your digital habits improve, envision how this will boost your in-person interactions next week.",1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
3,You've upped your social game—how has this refreshed your outlook or energy levels?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",0.8684865228597584,False
4,Your screen interactions have gone up recently. Can you identify a positive interaction you had online today?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
5,You've been cozy in your dorm more lately. How about starting your day with a stretch or a short walk to mix things up?,3,3_places_new_exploring_more,"['places', 'new', 'exploring', 'more', 'youve', 'visiting', 'been', 'your', 'how', 'spots']","[""Noticed you've been exploring more places lately. How does this change in scenery reflect in your daily routine and energy levels?"", ""You've been visiting more places lately. How has exploring new environments influenced your day-to-day life?"", ""You've been exploring more places lately. How does visiting new spots shape your day?""]",places - new - exploring - more - youve - visiting - been - your - how - spots,0.22484570670241438,False
6,Reflect on a moment this week that brought a smile to your face. What can you learn from it? Thanks for sharing your light!,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
7,Your texts are up; calls are down. How does swapping out calls for texts align with your social goals this week?,0,"0_Social Interactions (phone logs, face to face conversations, significant places)___","['Social Interactions (phone logs, face to face conversations, significant places)', '', '', '', '', '', '', '', '', '']","['Your incoming calls are up, but in-person chat has dipped. Could you share how this shift has shaped your social life recently?', ""You've been reaching out more on calls and texts. How are these chats shaping your days?"", 'Noticing fewer calls and more in-person chats? Reflect on how this shift is shaping your social interactions.']","Social Interactions (phone logs, face to face conversations, significant places) -  -  -  -  -  -  -  -  - ",1.0,False
8,Who in your circle has been a positive influence lately? Share how they've helped brighten your day.,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
9,Your gym time has spiked! How does this commitment to fitness influence your daily routine and mood?,6,"6_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",0.9262717553706046,False
10,Reflect on a calming activity to try before sleep that might improve your rest.,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
11,Your digital use has gone up recently. How do you feel it has impacted your in-person social connections and overall wellbeing?,1,"1_Digital Habits (screen time, social media, communication and entertainment apps use)___","['Digital Habits (screen time, social media, communication and entertainment apps use)', '', '', '', '', '', '', '', '', '']","['Your screen time and social app use are up. Reflect on why and how adjusting these could help your focus.', 'Your recent screen time is up; in which ways might this impact your sleep and day tomorrow?', 'It seems your digital screen time is on the rise. In what ways might you balance this with off-screen activities?']","Digital Habits (screen time, social media, communication and entertainment apps use) -  -  -  -  -  -  -  -  - ",1.0,False
12,Reflect on a challenge from the past week. How did you adapt or overcome it? Keep up the great work on your journey!,2,2_week_keep_reflect_on,"['week', 'keep', 'reflect', 'on', 'it', 'you', 'this', 'for', 'that', 'your']","['Reflect on a recent challenge you overcame this week. How did it contribute to your personal growth? Keep thriving!', 'Reflect on a moment this week where you overcame an academic challenge and how it made you feel. Thanks for your openness and keep growing!', ""Reflect on a challenge you overcame this week and how it's shaped your perspective. Keep shining on your journey!""]",week - keep - reflect - on - it - you - this - for - that - your,1.0,False
13,"Noticed your time at the gym is up. What new workout or routine inspired this change, and how does it feel integrating it?",6,"6_Physical Fitness (exercise, physical activity, distance travelled)___","['Physical Fitness (exercise, physical activity, distance travelled)', '', '', '', '', '', '', '', '', '']","['With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?', 'With less time at the gym and running taking center stage, how will you adapt your fitness routine moving forward?']","Physical Fitness (exercise, physical activity, distance travelled) -  -  -  -  -  -  -  -  - ",1.0,False
