,data,day,uid,date
517,I had a great day today. I got to walk around Pine Park and enjoy the peace.,2024-03-14 21:03:36.065,t0004@sreflect,2024-03-14
518,Today I feel conflicted about a lot of things. I miss home and feel a little lonely. I feel a bit under the weather and just want to relax and be peaceful. I also talked a lot with my new friends and really enjoyed their company. Looking forward to more opportunities to open up to my friends !,2024-03-14 21:04:29.282,t0006@sreflect,2024-03-14
519,"not much, just thinking about plans for the weekend. trying to decide where I want to ski, and if I want to spend time with friends. and then of course I gotta see the cats!",2024-03-14 21:01:25.595,t0019@sreflect,2024-03-14
520,I have been thinking very pessimistically and cynically because I have been feeling frustrated and angry,2024-03-14 21:15:18.523,t0007@sreflect,2024-03-14
521,I am slowly incorporating coffee back into my life and it's helping me with my attention span so far. hopefully it doesn't harm me,2024-03-14 21:31:14.667,t0009@sreflect,2024-03-14
522,"I haven't been the most productive with my qual prep lately. there's been a lot happening, lots of little drama things in IND and regarding new members joining the lab. Hopefully next week will be a quieter week and I can crank out a lot of reading and studying. got a lot to do tomorrow, but will be good for me in the long run.",2024-03-14 21:23:25.673,t0010@sreflect,2024-03-14
523,I'm so happy that I decided to join a group over spring break; it's been awesome getting to know different people on campus I would have otherwise never talked to and just hanging out with one another.,2024-03-14 21:16:40.938,t0020@sreflect,2024-03-14
524,"Paper submission is on my mind. The deadline is tomorrow, and I'm so busy right now. Also, I'm a bit stressed about jobs.",2024-03-14 21:23:07.881,t0003@sreflect,2024-03-14
525,"It's been quite an extraordinary week, full of adventures, trips, and unexpected encounters. I ran 2km tonight, which has been a while. It was definitely exhausting, but the rush of adrenaline and a sense of accomplishment was something I haven't experienced for a while and will cherish.",2024-03-14 22:50:54.776,t0012@sreflect,2024-03-14
526,"I had a wonderful day: on a ski trip with friends, and we had an incredible powder day. By far the best day I've ever had skiing. Feeling great!",2024-03-14 20:36:55.686,t0022@sreflect,2024-03-14
527,"Today was a very good day. I didn't feel like I had nothing to do, even though I didn't have any deadlines. I am tired, but not exhausted.",2024-03-15 21:00:12.914,t0004@sreflect,2024-03-15
528,today was a very late start but I did get some stuff done so I don't feel bad. I am burnt out though and I can't wait to relax,2024-03-15 21:00:27.286,t0009@sreflect,2024-03-15
529,"Today was a rainy and chilly day and I didn't bring enough layers, so I was a little upset being outside, but we drew some maple syrup during the night and it was an awesome experience having everyone use their flashlights on their phones as a light source.",2024-03-15 21:05:26.059,t0020@sreflect,2024-03-15
530,"I feel ready to defend my PhD. it's been a long and turbulent journey, a great test for my resilience and hope. I'm glad I am finally coming to the end of it.",2024-03-15 21:13:38.163,t0003@sreflect,2024-03-15
531,"today was fun..I enjoyed it, I. got to spend time with my friends and talk to family. can't ask for more!",2024-03-15 21:39:54.346,t0006@sreflect,2024-03-15
532,"I was feeling very well today, so I slept during the day.   I hope I will feel better tomorrow.",2024-03-15 23:22:25.286,t0007@sreflect,2024-03-15
533,"I was looking into the past, and I noticed how much I was being not good to other people, to other relationships. With that, I think that I wanna move forward being more kind, gentle, and comprehensive, not judging so much and being nice to those who are around me.",2024-03-15 23:51:04.671,t0008@sreflect,2024-03-15
534,"Had another good day on the ski trip! Really just hanging around the house on a break day, but the end was nice. Had a lovely dinner and good conversation with some friends.",2024-03-15 21:55:18.407,t0022@sreflect,2024-03-15
535,"I'm going skiing today, very exciting, love skiing. But I don't like leaving my dog home alone and I do have a lot of work to do.",2024-03-16 06:08:30.335,t0010@sreflect,2024-03-16
536,"It is actually the other way around. my daily routine has completely changed due to being on a holiday, and enjoying my time connecting with people in person who I would normally interact with digitally. This has resulted in less phone usage",2024-03-16 21:01:12.391,t0011@sreflect,2024-03-16
537,Today was a very fun day and I enjoyed spending time with my friends and exploring a new city.,2024-03-16 21:05:05.783,t0006@sreflect,2024-03-16
