,Unnamed: 0,data,day,uid,data_test,Q3_question,Q3_response
250,250,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706826426.859;1706826430.571"",""Q3: Hope you're having a great afternoon!"":""👍"",""__user_triggered__"":""false""}",2024-02-01 17:27:10.571,t0003@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706826426.859;1706826430.571', ""Q3: Hope you're having a great afternoon!"": '👍', '__user_triggered__': 'false'}",Hope you're having a great afternoon!,👍
274,274,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706905803.866;1706905809.863"",""Q3: Enjoying a change of scenery at a new study spot this afternoon could be a neat switch-up!"":""👍"",""__user_triggered__"":""false""}",2024-02-02 15:30:09.862,t0003@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706905803.866;1706905809.863', 'Q3: Enjoying a change of scenery at a new study spot this afternoon could be a neat switch-up!': '👍', '__user_triggered__': 'false'}",Enjoying a change of scenery at a new study spot this afternoon could be a neat switch-up!,👍
275,275,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706905814.654;1706905824.620"",""__user_triggered__"":""false"",""Q3: Chatted with a friend at their place this afternoon? Cool way to break up the study grind!"":""👍""}",2024-02-02 15:30:24.619,t0004@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706905814.654;1706905824.620', '__user_triggered__': 'false', 'Q3: Chatted with a friend at their place this afternoon? Cool way to break up the study grind!': '👍'}",Chatted with a friend at their place this afternoon? Cool way to break up the study grind!,👍
276,276,"{""__name__"":""weekday_nudge_afternoon"",""Q3: Caught yourself in some good old chit-chat this afternoon, huh? 🗣️👍👎"":""👍"",""RespTime_0"":""1706905873.455;1706905876.145"",""__user_triggered__"":""false""}",2024-02-02 15:31:16.144,t0005@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'Q3: Caught yourself in some good old chit-chat this afternoon, huh? 🗣️👍👎': '👍', 'RespTime_0': '1706905873.455;1706905876.145', '__user_triggered__': 'false'}","Caught yourself in some good old chit-chat this afternoon, huh? 🗣️👍👎",👍
278,278,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706906955.604;1706906958.104"",""Q3: Caught up in some good conversations this afternoon? 👥🗨️"":""👍"",""__user_triggered__"":""false""}",2024-02-02 15:49:18.104,t0002@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706906955.604;1706906958.104', 'Q3: Caught up in some good conversations this afternoon? 👥🗨️': '👍', '__user_triggered__': 'false'}",Caught up in some good conversations this afternoon? 👥🗨️,👍
279,279,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706905941.054;1706905943.787"",""Q3: Hope you're having a great afternoon!"":""👍"",""__user_triggered__"":""false""}",2024-02-02 15:32:23.786,t0006@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706905941.054;1706905943.787', ""Q3: Hope you're having a great afternoon!"": '👍', '__user_triggered__': 'false'}",Hope you're having a great afternoon!,👍
323,323,"{""Q3: Chilled at your favorite spot this afternoon and used the time to catch up on your screens and apps?"":""👎"",""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706992340.329;1706992347.486"",""__user_triggered__"":""false""}",2024-02-03 15:32:27.486,t0002@sreflect,"{'Q3: Chilled at your favorite spot this afternoon and used the time to catch up on your screens and apps?': '👎', '__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706992340.329;1706992347.486', '__user_triggered__': 'false'}",Chilled at your favorite spot this afternoon and used the time to catch up on your screens and apps?,👎
324,324,"{""__name__"":""weekday_nudge_afternoon"",""Q3: Hope your screen's been taking a rest too while you've been on the move this afternoon!"":""👍"",""RespTime_0"":""1706992216.565;1706992223.210"",""__user_triggered__"":""false""}",2024-02-03 15:30:23.210,t0005@sreflect,"{'__name__': 'weekday_nudge_afternoon', ""Q3: Hope your screen's been taking a rest too while you've been on the move this afternoon!"": '👍', 'RespTime_0': '1706992216.565;1706992223.210', '__user_triggered__': 'false'}",Hope your screen's been taking a rest too while you've been on the move this afternoon!,👍
327,327,"{""Q3: Hey there, seems like you've balanced screen time with in-person chats this afternoon! 👍 or 👎?"":""👎"",""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706992204.667;1706992210.032"",""__user_triggered__"":""false""}",2024-02-03 15:30:10.032,t0004@sreflect,"{""Q3: Hey there, seems like you've balanced screen time with in-person chats this afternoon! 👍 or 👎?"": '👎', '__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706992204.667;1706992210.032', '__user_triggered__': 'false'}","Hey there, seems like you've balanced screen time with in-person chats this afternoon! 👍 or 👎?",👎
328,328,"{""__name__"":""weekday_nudge_afternoon"",""RespTime_0"":""1706992546.876;1706992550.141"",""Q3: Hope you're having a great afternoon!"":""👍"",""__user_triggered__"":""false""}",2024-02-03 15:35:50.141,t0006@sreflect,"{'__name__': 'weekday_nudge_afternoon', 'RespTime_0': '1706992546.876;1706992550.141', ""Q3: Hope you're having a great afternoon!"": '👍', '__user_triggered__': 'false'}",Hope you're having a great afternoon!,👍
