,Unnamed: 0,data,day,uid,data_test,Q4_question,Q4_response
251,251,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706830214.465;1706830224.119"",""__user_triggered__"":""false"",""Q4: Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨"":""👍""}",2024-02-01 18:30:24.118,t0003@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706830214.465;1706830224.119', '__user_triggered__': 'false', 'Q4: Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨': '👍'}","Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨",👍
254,254,"{""__name__"":""weekday_nudge_evening"",""Q4: Enjoying a cozy evening indoors tonight?"":""👍"",""RespTime_0"":""1706832107.349;1706832110.403"",""__user_triggered__"":""false""}",2024-02-01 19:01:50.403,t0002@sreflect,"{'__name__': 'weekday_nudge_evening', 'Q4: Enjoying a cozy evening indoors tonight?': '👍', 'RespTime_0': '1706832107.349;1706832110.403', '__user_triggered__': 'false'}",Enjoying a cozy evening indoors tonight?,👍
282,282,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706916754.685;1706916764.395"",""__user_triggered__"":""false"",""Q4: Felt like your conversations away from the books sparked some fresh ideas this evening, didn't they?"":""👎""}",2024-02-02 18:32:44.394,t0003@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706916754.685;1706916764.395', '__user_triggered__': 'false', ""Q4: Felt like your conversations away from the books sparked some fresh ideas this evening, didn't they?"": '👎'}","Felt like your conversations away from the books sparked some fresh ideas this evening, didn't they?",👎
283,283,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706916840.953;1706916843.384"",""__user_triggered__"":""false"",""Q4: Seems like you balanced some walk-and-talk with screen time this evening. 👍👎"":""👍""}",2024-02-02 18:34:03.384,t0005@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706916840.953;1706916843.384', '__user_triggered__': 'false', 'Q4: Seems like you balanced some walk-and-talk with screen time this evening. 👍👎': '👍'}",Seems like you balanced some walk-and-talk with screen time this evening. 👍👎,👍
284,284,"{""Q4: Caught your chats buzzing more than your phone calls today! Agree?"":""👍"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706917289.623;1706917295.628"",""__user_triggered__"":""false""}",2024-02-02 18:41:35.628,t0006@sreflect,"{'Q4: Caught your chats buzzing more than your phone calls today! Agree?': '👍', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1706917289.623;1706917295.628', '__user_triggered__': 'false'}",Caught your chats buzzing more than your phone calls today! Agree?,👍
286,286,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706917424.457;1706917438.779"",""Q4: Looks like you've had some good chats in one spot this evening, feeling more social lately?"":""👎"",""__user_triggered__"":""false""}",2024-02-02 18:43:58.779,t0002@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706917424.457;1706917438.779', ""Q4: Looks like you've had some good chats in one spot this evening, feeling more social lately?"": '👎', '__user_triggered__': 'false'}","Looks like you've had some good chats in one spot this evening, feeling more social lately?",👎
287,287,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706917585.642;1706917589.467"",""Q4: Enjoyed some screen-free time during your evening? 📚💡"":""👍"",""__user_triggered__"":""false""}",2024-02-02 18:46:29.467,t0004@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706917585.642;1706917589.467', 'Q4: Enjoyed some screen-free time during your evening? 📚💡': '👍', '__user_triggered__': 'false'}",Enjoyed some screen-free time during your evening? 📚💡,👍
288,288,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1706917842.102;1706917845.963"",""__user_triggered__"":""false"",""Q4: Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨"":""👍""}",2024-02-02 18:50:45.963,t0007@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1706917842.102;1706917845.963', '__user_triggered__': 'false', 'Q4: Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨': '👍'}","Have you done something today just for fun or relaxation? Remember, balance is key! 🎮🎨",👍
332,332,"{""Q4: Caught you multitasking between screens and study spots this evening, didn't I? 👀"":""👍"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707003003.958;1707003008.760"",""__user_triggered__"":""false""}",2024-02-03 18:30:08.760,t0005@sreflect,"{""Q4: Caught you multitasking between screens and study spots this evening, didn't I? 👀"": '👍', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707003003.958;1707003008.760', '__user_triggered__': 'false'}","Caught you multitasking between screens and study spots this evening, didn't I? 👀",👍
336,336,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707003524.409;1707003529.432"",""Q4: Caught yourself chatting more than usual this evening, didn't you? Give a thumbs up if you're the social butterfly tonight!"":""👍"",""__user_triggered__"":""false""}",2024-02-03 18:38:49.433,t0006@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707003524.409;1707003529.432', ""Q4: Caught yourself chatting more than usual this evening, didn't you? Give a thumbs up if you're the social butterfly tonight!"": '👍', '__user_triggered__': 'false'}","Caught yourself chatting more than usual this evening, didn't you? Give a thumbs up if you're the social butterfly tonight!",👍
338,338,"{""Q4: Chilled in your favorite spot this evening, huh? Feelin' more centered?"":""👎"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707003004.899;1707003008.116"",""__user_triggered__"":""false""}",2024-02-03 18:30:08.115,t0002@sreflect,"{""Q4: Chilled in your favorite spot this evening, huh? Feelin' more centered?"": '👎', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707003004.899;1707003008.116', '__user_triggered__': 'false'}","Chilled in your favorite spot this evening, huh? Feelin' more centered?",👎
339,339,"{""__name__"":""weekday_nudge_evening"",""Q4: Seems like you might have enjoyed a cozy evening indoors!"":""👍"",""RespTime_0"":""1707003375.441;1707003380.280"",""__user_triggered__"":""false""}",2024-02-03 18:36:20.279,t0004@sreflect,"{'__name__': 'weekday_nudge_evening', 'Q4: Seems like you might have enjoyed a cozy evening indoors!': '👍', 'RespTime_0': '1707003375.441;1707003380.280', '__user_triggered__': 'false'}",Seems like you might have enjoyed a cozy evening indoors!,👍
340,340,"{""__name__"":""weekday_nudge_evening"",""Q4: Keeping that one favorite spot for maximum productivity seems to be working well for you this evening! 👍👎"":""👍"",""RespTime_0"":""1707006113.866;1707006119.232"",""__user_triggered__"":""false""}",2024-02-03 19:21:59.232,t0003@sreflect,"{'__name__': 'weekday_nudge_evening', 'Q4: Keeping that one favorite spot for maximum productivity seems to be working well for you this evening! 👍👎': '👍', 'RespTime_0': '1707006113.866;1707006119.232', '__user_triggered__': 'false'}",Keeping that one favorite spot for maximum productivity seems to be working well for you this evening! 👍👎,👍
341,341,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707006746.236;1707006749.968"",""Q4: Ready to trade some screen time for star time tonight?"":""👎"",""__user_triggered__"":""false""}",2024-02-03 19:32:29.967,t0007@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707006746.236;1707006749.968', 'Q4: Ready to trade some screen time for star time tonight?': '👎', '__user_triggered__': 'false'}",Ready to trade some screen time for star time tonight?,👎
373,373,"{""Q4: Enjoyed some me-time during your walk this evening?"":""👎"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707089409.697;1707089418.706"",""__user_triggered__"":""false""}",2024-02-04 18:30:18.706,t0002@sreflect,"{'Q4: Enjoyed some me-time during your walk this evening?': '👎', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707089409.697;1707089418.706', '__user_triggered__': 'false'}",Enjoyed some me-time during your walk this evening?,👎
374,374,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707089412.018;1707089419.701"",""Q4: Switching between staying put and stretching your legs this evening feels like a win for balance! 👍 or 👎?"":""👍"",""__user_triggered__"":""false""}",2024-02-04 18:30:19.701,t0004@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707089412.018;1707089419.701', 'Q4: Switching between staying put and stretching your legs this evening feels like a win for balance! 👍 or 👎?': '👍', '__user_triggered__': 'false'}",Switching between staying put and stretching your legs this evening feels like a win for balance! 👍 or 👎?,👍
376,376,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707089973.170;1707089977.843"",""__user_triggered__"":""false"",""Q4: Chatted with someone during your study time this evening, didn't you? 👍👎"":""👎""}",2024-02-04 18:39:37.842,t0005@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707089973.170;1707089977.843', '__user_triggered__': 'false', ""Q4: Chatted with someone during your study time this evening, didn't you? 👍👎"": '👎'}","Chatted with someone during your study time this evening, didn't you? 👍👎",👎
377,377,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707089572.365;1707089574.994"",""Q4: Seems like staying put was the theme for your evening – cozy setup, right?"":""👍"",""__user_triggered__"":""false""}",2024-02-04 18:32:54.997,t0006@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707089572.365;1707089574.994', 'Q4: Seems like staying put was the theme for your evening – cozy setup, right?': '👍', '__user_triggered__': 'false'}","Seems like staying put was the theme for your evening – cozy setup, right?",👍
378,378,"{""Q4: Discovering a new favorite leisure spot this evening could be your latest adventure! 👍👎"":""👎"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707091204.133;1707091209.238"",""__user_triggered__"":""false""}",2024-02-04 19:00:09.237,t0003@sreflect,"{'Q4: Discovering a new favorite leisure spot this evening could be your latest adventure! 👍👎': '👎', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707091204.133;1707091209.238', '__user_triggered__': 'false'}",Discovering a new favorite leisure spot this evening could be your latest adventure! 👍👎,👎
380,380,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707093090.759;1707093093.724"",""__user_triggered__"":""false"",""Q4: Settling into your dorm seems to be your choice for a productive evening! 👍 or 👎?"":""👎""}",2024-02-04 19:31:33.723,t0007@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707093090.759;1707093093.724', '__user_triggered__': 'false', 'Q4: Settling into your dorm seems to be your choice for a productive evening! 👍 or 👎?': '👎'}",Settling into your dorm seems to be your choice for a productive evening! 👍 or 👎?,👎
410,410,"{""__name__"":""weekday_nudge_evening"",""Q4: Switching between screen time and real-world chats might have made for a dynamic evening. 👍👎"":""👍"",""RespTime_0"":""1707175804.828;1707175809.897"",""__user_triggered__"":""false""}",2024-02-05 18:30:09.897,t0003@sreflect,"{'__name__': 'weekday_nudge_evening', 'Q4: Switching between screen time and real-world chats might have made for a dynamic evening. 👍👎': '👍', 'RespTime_0': '1707175804.828;1707175809.897', '__user_triggered__': 'false'}",Switching between screen time and real-world chats might have made for a dynamic evening. 👍👎,👍
411,411,"{""Q4: Grasping new concepts at the study spot this evening felt productive, didn't it?"":""👎"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707175810.505;1707175814.436"",""__user_triggered__"":""false""}",2024-02-05 18:30:14.436,t0004@sreflect,"{""Q4: Grasping new concepts at the study spot this evening felt productive, didn't it?"": '👎', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707175810.505;1707175814.436', '__user_triggered__': 'false'}","Grasping new concepts at the study spot this evening felt productive, didn't it?",👎
412,412,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707175878.826;1707175886.615"",""Q4: Enjoying your well-deserved downtime after being on the move this evening, I bet! 🛋️📴"":""👍"",""__user_triggered__"":""false""}",2024-02-05 18:31:26.615,t0005@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707175878.826;1707175886.615', 'Q4: Enjoying your well-deserved downtime after being on the move this evening, I bet! 🛋️📴': '👍', '__user_triggered__': 'false'}","Enjoying your well-deserved downtime after being on the move this evening, I bet! 🛋️📴",👍
413,413,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707175971.263;1707175981.110"",""Q4: Evening calls seemed brief today; looks like messages were more your style this time around?"":""👍"",""__user_triggered__"":""false""}",2024-02-05 18:33:01.111,t0006@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707175971.263;1707175981.110', 'Q4: Evening calls seemed brief today; looks like messages were more your style this time around?': '👍', '__user_triggered__': 'false'}",Evening calls seemed brief today; looks like messages were more your style this time around?,👍
415,415,"{""Q4: Caught up with a few friends at the dorm this evening, I bet it felt nice to socialize in person."":""👍"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707176065.271;1707176175.402"",""__user_triggered__"":""false""}",2024-02-05 18:36:15.401,t0002@sreflect,"{'Q4: Caught up with a few friends at the dorm this evening, I bet it felt nice to socialize in person.': '👍', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707176065.271;1707176175.402', '__user_triggered__': 'false'}","Caught up with a few friends at the dorm this evening, I bet it felt nice to socialize in person.",👍
465,465,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707262256.900;1707262263.410"",""Q4: This evening seems perfect for a cozy catch-up with a good book or podcast, doesn't it?"":""👎"",""__user_triggered__"":""false""}",2024-02-06 18:31:03.410,t0002@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707262256.900;1707262263.410', ""Q4: This evening seems perfect for a cozy catch-up with a good book or podcast, doesn't it?"": '👎', '__user_triggered__': 'false'}","This evening seems perfect for a cozy catch-up with a good book or podcast, doesn't it?",👎
466,466,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707262495.112;1707262499.476"",""__user_triggered__"":""false"",""Q4: Balancing study time with a relaxing break at the cafeteria must have been a good blend this evening!"":""👍""}",2024-02-06 18:34:59.477,t0005@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707262495.112;1707262499.476', '__user_triggered__': 'false', 'Q4: Balancing study time with a relaxing break at the cafeteria must have been a good blend this evening!': '👍'}",Balancing study time with a relaxing break at the cafeteria must have been a good blend this evening!,👍
467,467,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707262818,988;1707262830,358"",""__user_triggered__"":""false"",""Q4: A brisk evening walk might have been a nice transition after screen time. 🌃👟"":""👎""}",2024-02-06 18:40:30.358,t0008@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707262818,988;1707262830,358', '__user_triggered__': 'false', 'Q4: A brisk evening walk might have been a nice transition after screen time. 🌃👟': '👎'}",A brisk evening walk might have been a nice transition after screen time. 🌃👟,👎
468,468,"{""Q4: Feeling like those chats with classmates were as rewarding as acing a quiz?"":""👍"",""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707262590.343;1707262595.149"",""__user_triggered__"":""false""}",2024-02-06 18:36:35.150,t0010@sreflect,"{'Q4: Feeling like those chats with classmates were as rewarding as acing a quiz?': '👍', '__name__': 'weekday_nudge_evening', 'RespTime_0': '1707262590.343;1707262595.149', '__user_triggered__': 'false'}",Feeling like those chats with classmates were as rewarding as acing a quiz?,👍
469,469,"{""__name__"":""weekday_nudge_evening"",""RespTime_0"":""1707262535.730;1707262550.925"",""Q4: Checking out from screen time while being around for a good while, right? 👀🌿"":""👎"",""__user_triggered__"":""false""}",2024-02-06 18:35:50.924,t0011@sreflect,"{'__name__': 'weekday_nudge_evening', 'RespTime_0': '1707262535.730;1707262550.925', 'Q4: Checking out from screen time while being around for a good while, right? 👀🌿': '👎', '__user_triggered__': 'false'}","Checking out from screen time while being around for a good while, right? 👀🌿",👎
