,Unnamed: 0,data,day,uid,data_test,Q2_question,Q2_response
263,263,"{""__name__"":""weekday_nudge_morning"",""Q2: Enjoyed a little hustle between your favorite spots this morning, didn't you?"":""👍"",""RespTime_0"":""1706895010.817;1706895015.257"",""__user_triggered__"":""false""}",2024-02-02 12:30:15.256,t0004@sreflect,"{'__name__': 'weekday_nudge_morning', ""Q2: Enjoyed a little hustle between your favorite spots this morning, didn't you?"": '👍', 'RespTime_0': '1706895010.817;1706895015.257', '__user_triggered__': 'false'}","Enjoyed a little hustle between your favorite spots this morning, didn't you?",👍
265,265,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706895689.982;1706895694.699"",""Q2: Chats and connections seem to make your morning buzz! 👍👎"":""👍"",""__user_triggered__"":""false""}",2024-02-02 12:41:34.698,t0003@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706895689.982;1706895694.699', 'Q2: Chats and connections seem to make your morning buzz! 👍👎': '👍', '__user_triggered__': 'false'}",Chats and connections seem to make your morning buzz! 👍👎,👍
267,267,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706897965.687;1706897971.818"",""Q2: Caught up with someone during your dorm stay this morning?"":""👎"",""__user_triggered__"":""false""}",2024-02-02 13:19:31.818,t0002@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706897965.687;1706897971.818', 'Q2: Caught up with someone during your dorm stay this morning?': '👎', '__user_triggered__': 'false'}",Caught up with someone during your dorm stay this morning?,👎
271,271,"{""__name__"":""weekday_nudge_morning"",""Q2: Enjoyed a little hustle between your favorite spots this morning, didn't you?"":""👎"",""RespTime_0"":""1706899640.532;1706899645.720"",""__user_triggered__"":""false""}",2024-02-02 13:47:25.720,t0005@sreflect,"{'__name__': 'weekday_nudge_morning', ""Q2: Enjoyed a little hustle between your favorite spots this morning, didn't you?"": '👎', 'RespTime_0': '1706899640.532;1706899645.720', '__user_triggered__': 'false'}","Enjoyed a little hustle between your favorite spots this morning, didn't you?",👎
316,316,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706981409.713;1706981414.035"",""Q2: This morning's pace seems pretty chill, hope it's a cozy one for you!"":""👍"",""__user_triggered__"":""false""}",2024-02-03 12:30:14.035,t0002@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706981409.713;1706981414.035', ""Q2: This morning's pace seems pretty chill, hope it's a cozy one for you!"": '👍', '__user_triggered__': 'false'}","This morning's pace seems pretty chill, hope it's a cozy one for you!",👍
317,317,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706981407.345;1706981419.752"",""Q2: Morning multitasking with mobile chats while on the move? 👍👎"":""👍"",""__user_triggered__"":""false""}",2024-02-03 12:30:19.756,t0005@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706981407.345;1706981419.752', 'Q2: Morning multitasking with mobile chats while on the move? 👍👎': '👍', '__user_triggered__': 'false'}",Morning multitasking with mobile chats while on the move? 👍👎,👍
319,319,"{""Q2: Sounds like a cozy morning settling into your usual nook! 👍👎"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706981403.815;1706981409.566"",""__user_triggered__"":""false""}",2024-02-03 12:30:09.565,t0003@sreflect,"{'Q2: Sounds like a cozy morning settling into your usual nook! 👍👎': '👍', '__name__': 'weekday_nudge_morning', 'RespTime_0': '1706981403.815;1706981409.566', '__user_triggered__': 'false'}",Sounds like a cozy morning settling into your usual nook! 👍👎,👍
320,320,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706981722.759;1706981729.581"",""Q2: Hope your morning's off to a smooth start with a comfortable mix of tasks and chill time at the dorm! 🌟🏠"":""👍"",""__user_triggered__"":""false""}",2024-02-03 12:35:29.582,t0004@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706981722.759;1706981729.581', ""Q2: Hope your morning's off to a smooth start with a comfortable mix of tasks and chill time at the dorm! 🌟🏠"": '👍', '__user_triggered__': 'false'}",Hope your morning's off to a smooth start with a comfortable mix of tasks and chill time at the dorm! 🌟🏠,👍
322,322,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1706981562.912;1706981568.002"",""Q2: Morning chats seem to have sparked more smiles than usual! Agree?"":""👍"",""__user_triggered__"":""false""}",2024-02-03 12:32:48.006,t0006@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1706981562.912;1706981568.002', 'Q2: Morning chats seem to have sparked more smiles than usual! Agree?': '👍', '__user_triggered__': 'false'}",Morning chats seem to have sparked more smiles than usual! Agree?,👍
394,394,"{""Q2: Caught up on a bit of screen time this morning while staying cozy at your favorite spot?"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707154228.481;1707154232.235"",""__user_triggered__"":""false""}",2024-02-05 12:30:32.234,t0004@sreflect,"{'Q2: Caught up on a bit of screen time this morning while staying cozy at your favorite spot?': '👍', '__name__': 'weekday_nudge_morning', 'RespTime_0': '1707154228.481;1707154232.235', '__user_triggered__': 'false'}",Caught up on a bit of screen time this morning while staying cozy at your favorite spot?,👍
395,395,"{""Q2: Exploring new spots today kept things interesting, huh? 👍👎"":""👍"",""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707154327.414;1707154330.638"",""__user_triggered__"":""false""}",2024-02-05 12:32:10.638,t0005@sreflect,"{'Q2: Exploring new spots today kept things interesting, huh? 👍👎': '👍', '__name__': 'weekday_nudge_morning', 'RespTime_0': '1707154327.414;1707154330.638', '__user_triggered__': 'false'}","Exploring new spots today kept things interesting, huh? 👍👎",👍
397,397,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707154460.304;1707154463.685"",""Q2: Taking a morning walk is a lovely way to start the day, isn't it? 🚶‍♂️🌤️"":""👎"",""__user_triggered__"":""false""}",2024-02-05 12:34:23.686,t0002@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1707154460.304;1707154463.685', ""Q2: Taking a morning walk is a lovely way to start the day, isn't it? 🚶\u200d♂️🌤️"": '👎', '__user_triggered__': 'false'}","Taking a morning walk is a lovely way to start the day, isn't it? 🚶‍♂️🌤️",👎
398,398,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707154328.330;1707154329.797"",""__user_triggered__"":""false"",""Q2: Settling in at a familiar place with some screen and social app action this morning worked for you! 👍👎"":""👍""}",2024-02-05 12:32:09.796,t0003@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1707154328.330;1707154329.797', '__user_triggered__': 'false', 'Q2: Settling in at a familiar place with some screen and social app action this morning worked for you! 👍👎': '👍'}",Settling in at a familiar place with some screen and social app action this morning worked for you! 👍👎,👍
399,399,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707155412.157;1707155419.429"",""Q2: Caught some fresh air between your studies this morning, I bet!"":""👍"",""__user_triggered__"":""false""}",2024-02-05 12:50:19.428,t0006@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1707155412.157;1707155419.429', 'Q2: Caught some fresh air between your studies this morning, I bet!': '👍', '__user_triggered__': 'false'}","Caught some fresh air between your studies this morning, I bet!",👍
400,400,"{""__name__"":""weekday_nudge_morning"",""Q2: Using your social and communication apps this morning to stay connected seems like it was on your agenda!"":""👍"",""RespTime_0"":""1707158658.765;1707158661.529"",""__user_triggered__"":""false""}",2024-02-05 13:44:21.529,t0007@sreflect,"{'__name__': 'weekday_nudge_morning', 'Q2: Using your social and communication apps this morning to stay connected seems like it was on your agenda!': '👍', 'RespTime_0': '1707158658.765;1707158661.529', '__user_triggered__': 'false'}",Using your social and communication apps this morning to stay connected seems like it was on your agenda!,👍
432,432,"{""__name__"":""weekday_nudge_morning"",""RespTime_0"":""1707240606.736;1707240610.176"",""Q2: Morning multitasking with apps seemed to be on your agenda, right?"":""👍"",""__user_triggered__"":""false""}",2024-02-06 12:30:10.176,t0005@sreflect,"{'__name__': 'weekday_nudge_morning', 'RespTime_0': '1707240606.736;1707240610.176', 'Q2: Morning multitasking with apps seemed to be on your agenda, right?': '👍', '__user_triggered__': 'false'}","Morning multitasking with apps seemed to be on your agenda, right?",👍
