,Unnamed: 0,data,day,uid,data_test,Q5_question,Q5_response
260,260,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1706846415.570;1706846419.476"",""Q5: Hope you had some lively chats at your hangouts today!"":""👍"",""__user_triggered__"":""false""}",2024-02-01 23:00:19.476,t0002@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1706846415.570;1706846419.476', 'Q5: Hope you had some lively chats at your hangouts today!': '👍', '__user_triggered__': 'false'}",Hope you had some lively chats at your hangouts today!,👍
261,261,"{""Q5: Wrapped up the day with some social app time, didn't you? 👍👎"":""👎"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1706847315.030;1706847318.700"",""__user_triggered__"":""false""}",2024-02-01 23:15:18.701,t0003@sreflect,"{""Q5: Wrapped up the day with some social app time, didn't you? 👍👎"": '👎', '__name__': 'weekday_nudge_night', 'RespTime_0': '1706847315.030;1706847318.700', '__user_triggered__': 'false'}","Wrapped up the day with some social app time, didn't you? 👍👎",👎
307,307,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1706932828.448;1706932835.505"",""Q5: Had a chance to unwind during your night with a non-digital activity? 🎶🛋️"":""👎"",""__user_triggered__"":""false""}",2024-02-02 23:00:35.505,t0004@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1706932828.448;1706932835.505', 'Q5: Had a chance to unwind during your night with a non-digital activity? 🎶🛋️': '👎', '__user_triggered__': 'false'}",Had a chance to unwind during your night with a non-digital activity? 🎶🛋️,👎
308,308,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1706932805.060;1706932808.764"",""__user_triggered__"":""false"",""Q5: Wrapped up the night with some social app time, didn't you? 👍👎"":""👍""}",2024-02-02 23:00:08.763,t0005@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1706932805.060;1706932808.764', '__user_triggered__': 'false', ""Q5: Wrapped up the night with some social app time, didn't you? 👍👎"": '👍'}","Wrapped up the night with some social app time, didn't you? 👍👎",👍
309,309,"{""Q5: Caught up in some good conversations today, I bet you might've made someone smile!"":""👍"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1706933217.271;1706933225.842"",""__user_triggered__"":""false""}",2024-02-02 23:07:05.842,t0002@sreflect,"{""Q5: Caught up in some good conversations today, I bet you might've made someone smile!"": '👍', '__name__': 'weekday_nudge_night', 'RespTime_0': '1706933217.271;1706933225.842', '__user_triggered__': 'false'}","Caught up in some good conversations today, I bet you might've made someone smile!",👍
310,310,"{""__name__"":""weekday_nudge_night"",""Q5: You must be bustling with thoughts after hitting up various spots today!"":""👍"",""RespTime_0"":""1706933145.585;1706933151.263"",""__user_triggered__"":""false""}",2024-02-02 23:05:51.263,t0003@sreflect,"{'__name__': 'weekday_nudge_night', 'Q5: You must be bustling with thoughts after hitting up various spots today!': '👍', 'RespTime_0': '1706933145.585;1706933151.263', '__user_triggered__': 'false'}",You must be bustling with thoughts after hitting up various spots today!,👍
350,350,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707019203.518;1707019211.810"",""Q5: Looks like you've switched between different settings today. Balance achieved?"":""👎"",""__user_triggered__"":""false""}",2024-02-03 23:00:11.809,t0005@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707019203.518;1707019211.810', ""Q5: Looks like you've switched between different settings today. Balance achieved?"": '👎', '__user_triggered__': 'false'}",Looks like you've switched between different settings today. Balance achieved?,👎
352,352,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707019284.581;1707019290.452"",""Q5: Seems like you had a nice blend of screen time and face-to-face time today! 👍👎"":""👍"",""__user_triggered__"":""false""}",2024-02-03 23:01:30.451,t0003@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707019284.581;1707019290.452', 'Q5: Seems like you had a nice blend of screen time and face-to-face time today! 👍👎': '👍', '__user_triggered__': 'false'}",Seems like you had a nice blend of screen time and face-to-face time today! 👍👎,👍
353,353,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707019875.051;1707019883.318"",""Q5: Ended the day staying mostly in one spot, I see. That must've been cozy!"":""👍"",""__user_triggered__"":""false""}",2024-02-03 23:11:23.329,t0006@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707019875.051;1707019883.318', ""Q5: Ended the day staying mostly in one spot, I see. That must've been cozy!"": '👍', '__user_triggered__': 'false'}","Ended the day staying mostly in one spot, I see. That must've been cozy!",👍
354,354,"{""Q5: You might have found a new favorite spot on campus today!"":""👎"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707021153.061;1707021159.518"",""__user_triggered__"":""false""}",2024-02-03 23:32:39.517,t0002@sreflect,"{'Q5: You might have found a new favorite spot on campus today!': '👎', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707021153.061;1707021159.518', '__user_triggered__': 'false'}",You might have found a new favorite spot on campus today!,👎
355,355,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707022074.753;1707022079.739"",""Q5: Your dedication to your study spot is showing; hoping it feels like a second home by now! 👍 or 👎?"":""👎"",""__user_triggered__"":""false""}",2024-02-03 23:47:59.739,t0007@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707022074.753;1707022079.739', 'Q5: Your dedication to your study spot is showing; hoping it feels like a second home by now! 👍 or 👎?': '👎', '__user_triggered__': 'false'}",Your dedication to your study spot is showing; hoping it feels like a second home by now! 👍 or 👎?,👎
389,389,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707105914.854;1707105920.790"",""Q5: Wrapping up the night with some calls might have rounded out your day nicely! 👍👎"":""👍"",""__user_triggered__"":""false""}",2024-02-04 23:05:20.790,t0003@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707105914.854;1707105920.790', 'Q5: Wrapping up the night with some calls might have rounded out your day nicely! 👍👎': '👍', '__user_triggered__': 'false'}",Wrapping up the night with some calls might have rounded out your day nicely! 👍👎,👍
390,390,"{""Q5: Have you had a chance to chat with friends today? It's always nice to catch up!"":""👍"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707105608.866;1707105613.331"",""__user_triggered__"":""false""}",2024-02-04 23:00:13.331,t0004@sreflect,"{""Q5: Have you had a chance to chat with friends today? It's always nice to catch up!"": '👍', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707105608.866;1707105613.331', '__user_triggered__': 'false'}",Have you had a chance to chat with friends today? It's always nice to catch up!,👍
391,391,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707105604.960;1707105611.179"",""Q5: Chatting on social apps might have been a highlight today! 👍👎"":""👍"",""__user_triggered__"":""false""}",2024-02-04 23:00:11.178,t0005@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707105604.960;1707105611.179', 'Q5: Chatting on social apps might have been a highlight today! 👍👎': '👍', '__user_triggered__': 'false'}",Chatting on social apps might have been a highlight today! 👍👎,👍
392,392,"{""Q5: Seems like today kept you on the move and socially engaged!"":""👍"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707107328.215;1707107337.130"",""__user_triggered__"":""false""}",2024-02-04 23:28:57.130,t0002@sreflect,"{'Q5: Seems like today kept you on the move and socially engaged!': '👍', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707107328.215;1707107337.130', '__user_triggered__': 'false'}",Seems like today kept you on the move and socially engaged!,👍
393,393,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707108543.735;1707108545.527"",""__user_triggered__"":""false"",""Q5: Seems like conversations were on your agenda today!"":""👍""}",2024-02-04 23:49:05.526,t0007@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707108543.735;1707108545.527', '__user_triggered__': 'false', 'Q5: Seems like conversations were on your agenda today!': '👍'}",Seems like conversations were on your agenda today!,👍
425,425,"{""Q5: Touched base with someone special over your phone tonight, I bet it was a warm convo!"":""👍"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707192176.303;1707192226.361"",""__user_triggered__"":""false""}",2024-02-05 23:03:46.361,t0002@sreflect,"{'Q5: Touched base with someone special over your phone tonight, I bet it was a warm convo!': '👍', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707192176.303;1707192226.361', '__user_triggered__': 'false'}","Touched base with someone special over your phone tonight, I bet it was a warm convo!",👍
426,426,"{""Q5: Bet you felt like a social butterfly fluttering between those hangout spots today!"":""👍"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707192183.685;1707192187.504"",""__user_triggered__"":""false""}",2024-02-05 23:03:07.503,t0005@sreflect,"{'Q5: Bet you felt like a social butterfly fluttering between those hangout spots today!': '👍', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707192183.685;1707192187.504', '__user_triggered__': 'false'}",Bet you felt like a social butterfly fluttering between those hangout spots today!,👍
428,428,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707192028.782;1707192031.442"",""Q5: A little social app time tonight was part of the plan, right? Give me your verdict!"":""👍"",""__user_triggered__"":""false""}",2024-02-05 23:00:31.441,t0004@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707192028.782;1707192031.442', 'Q5: A little social app time tonight was part of the plan, right? Give me your verdict!': '👍', '__user_triggered__': 'false'}","A little social app time tonight was part of the plan, right? Give me your verdict!",👍
429,429,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707193400.659;1707193407.696"",""Q5: Wrapped up today with some screen time and real-time conversations - sounds like a balanced mix!"":""👍"",""__user_triggered__"":""false""}",2024-02-05 23:23:27.700,t0006@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707193400.659;1707193407.696', 'Q5: Wrapped up today with some screen time and real-time conversations - sounds like a balanced mix!': '👍', '__user_triggered__': 'false'}",Wrapped up today with some screen time and real-time conversations - sounds like a balanced mix!,👍
430,430,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707192008.699;1707192013.176"",""__user_triggered__"":""false"",""Q5: Hope your night was as engaging as your conversations today! 👍 or 👎"":""👎""}",2024-02-05 23:00:13.177,t0007@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707192008.699;1707192013.176', '__user_triggered__': 'false', 'Q5: Hope your night was as engaging as your conversations today! 👍 or 👎': '👎'}",Hope your night was as engaging as your conversations today! 👍 or 👎,👎
431,431,"{""Q5: Checking in new apps might have been a fun twist to your usual night routine! 👍👎"":""👎"",""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707195146.766;1707195151.321"",""__user_triggered__"":""false""}",2024-02-05 23:52:31.322,t0003@sreflect,"{'Q5: Checking in new apps might have been a fun twist to your usual night routine! 👍👎': '👎', '__name__': 'weekday_nudge_night', 'RespTime_0': '1707195146.766;1707195151.321', '__user_triggered__': 'false'}",Checking in new apps might have been a fun twist to your usual night routine! 👍👎,👎
489,489,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707278406.885;1707278410.244"",""__user_triggered__"":""false"",""Q5: Tucking into a cozy evening at home has its perks, right?"":""👍""}",2024-02-06 23:00:10.244,t0005@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707278406.885;1707278410.244', '__user_triggered__': 'false', 'Q5: Tucking into a cozy evening at home has its perks, right?': '👍'}","Tucking into a cozy evening at home has its perks, right?",👍
490,490,"{""__name__"":""weekday_nudge_night"",""RespTime_0"":""1707278406.090;1707278414.584"",""Q5: Enjoyed some cozy dorm time today, it's like a personal retreat, agree?"":""👍"",""__user_triggered__"":""false""}",2024-02-06 23:00:14.584,t0007@sreflect,"{'__name__': 'weekday_nudge_night', 'RespTime_0': '1707278406.090;1707278414.584', ""Q5: Enjoyed some cozy dorm time today, it's like a personal retreat, agree?"": '👍', '__user_triggered__': 'false'}","Enjoyed some cozy dorm time today, it's like a personal retreat, agree?",👍
491,491,"{""__name__"":""weekday_nudge_night"",""Q5: Did you get a chance to dive into a good book or article tonight? 📖✨"":""👎"",""RespTime_0"":""1707278411.526;1707278415.559"",""__user_triggered__"":""false""}",2024-02-06 23:00:15.559,t0009@sreflect,"{'__name__': 'weekday_nudge_night', 'Q5: Did you get a chance to dive into a good book or article tonight? 📖✨': '👎', 'RespTime_0': '1707278411.526;1707278415.559', '__user_triggered__': 'false'}",Did you get a chance to dive into a good book or article tonight? 📖✨,👎
