,Unnamed: 0,data,day,uid,data_test,Q1_question,Q1_response
257,257,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706841134.292;1706841137.912"",""__user_triggered__"":""false""}",2024-02-01 21:32:17.911,t0002@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706841134.292;1706841137.912', '__user_triggered__': 'false'}",How are you feeling?,4
258,258,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706841017.668;1706841020.216"",""__user_triggered__"":""false""}",2024-02-01 21:30:20.216,t0003@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706841017.668;1706841020.216', '__user_triggered__': 'false'}",How are you feeling?,4
289,289,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706917850.916;1706917852.992"",""__user_triggered__"":""true""}",2024-02-02 18:50:52.992,t0007@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706917850.916;1706917852.992', '__user_triggered__': 'true'}",How are you feeling?,4
292,292,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706921470.336;1706921473.227"",""__user_triggered__"":""true""}",2024-02-02 19:51:13.226,t0007@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706921470.336;1706921473.227', '__user_triggered__': 'true'}",How are you feeling?,4
294,294,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706925931.052;1706925933.374"",""__user_triggered__"":""false""}",2024-02-02 21:05:33.374,t0002@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706925931.052;1706925933.374', '__user_triggered__': 'false'}",How are you feeling?,4
295,295,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706926149.896;1706926151.043"",""__user_triggered__"":""true""}",2024-02-02 21:09:11.042,t0002@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706926149.896;1706926151.043', '__user_triggered__': 'true'}",How are you feeling?,4
296,296,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706926210.476;1706926211.610"",""__user_triggered__"":""true""}",2024-02-02 21:10:11.609,t0002@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706926210.476;1706926211.610', '__user_triggered__': 'true'}",How are you feeling?,4
297,297,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706926283.007;1706926283.955"",""__user_triggered__"":""true""}",2024-02-02 21:11:23.954,t0002@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706926283.007;1706926283.955', '__user_triggered__': 'true'}",How are you feeling?,4
298,298,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706925660.905;1706925663.961"",""__user_triggered__"":""false""}",2024-02-02 21:01:03.961,t0003@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706925660.905;1706925663.961', '__user_triggered__': 'false'}",How are you feeling?,4
299,299,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706925869.273;1706925873.329"",""__user_triggered__"":""false""}",2024-02-02 21:04:33.328,t0004@sreflect,"{'Q1': '4', '__name__': 'daily_weekday', 'RespTime_0': '1706925869.273;1706925873.329', '__user_triggered__': 'false'}",How are you feeling?,4
