,data,day,uid
0,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1704765802.091;1704765803.196"",""__user_triggered__"":""true""}",2024-01-08 16:03:23.196,t0001@sreflect
1,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1704766714.576;1704766715.558"",""__user_triggered__"":""true""}",2024-01-08 16:18:35.558,t0001@sreflect
2,"{""Q1"":""1"",""__name__"":""daily_weekday"",""RespTime_0"":""1704767350.150;1704767351.241"",""__user_triggered__"":""true""}",2024-01-08 16:29:11.242,t0001@sreflect
3,"{""Q1"":""1"",""__name__"":""daily_weekday"",""RespTime_0"":""1704779656.957;1704779658.268"",""__user_triggered__"":""true""}",2024-01-08 19:54:18.267,t0001@sreflect
4,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1704779726.954;1704779728.224"",""__user_triggered__"":""true""}",2024-01-08 19:55:28.223,t0001@sreflect
5,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1704779864.900;1704779866.057"",""__user_triggered__"":""true""}",2024-01-08 19:57:46.056,t0001@sreflect
6,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704779961.795;1704779966.274"",""__user_triggered__"":""true""}",2024-01-08 19:59:26.273,t0001@sreflect
7,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704780416.150;1704780417.793"",""__user_triggered__"":""true""}",2024-01-08 20:06:57.793,t0001@sreflect
8,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1704780493.894;1704780495.217"",""__user_triggered__"":""true""}",2024-01-08 20:08:15.217,t0001@sreflect
9,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704816113.960;1704816118.366"",""__user_triggered__"":""true""}",2024-01-09 06:01:58.365,t0001@sreflect
10,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704829910.941;1704829913.587"",""__user_triggered__"":""true""}",2024-01-09 14:51:53.586,test4@sreflect
11,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1704830056.735;1704830067.780"",""__user_triggered__"":""true""}",2024-01-09 14:54:27.779,test4@sreflect
12,"{""Q1"":""2"",""__name__"":""daily_weekday"",""RespTime_0"":""1704837745.659;1704837746.498"",""__user_triggered__"":""true""}",2024-01-09 12:02:26.497,t0001@sreflect
13,"{""Q1"":""1"",""__name__"":""daily_weekday"",""RespTime_0"":""1704837756.086;1704837758.355"",""__user_triggered__"":""true""}",2024-01-09 12:02:38.355,t0001@sreflect
14,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1704840479.709;1704840493.042"",""__user_triggered__"":""true""}",2024-01-09 12:48:13.042,t0001@sreflect
15,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704852691.848;1704852696.189"",""__user_triggered__"":""false""}",2024-01-09 16:11:36.188,t0001@sreflect
16,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1706110646.593;1706110654.601"",""__user_triggered__"":""true""}",2024-01-24 05:37:34.601,test5@sreflect
17,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1704905108.360;1704905109.144"",""__user_triggered__"":""true""}",2024-01-10 11:45:09.144,test4@sreflect
18,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704917803.195;1704917810.204"",""__user_triggered__"":""true""}",2024-01-10 10:16:50.203,test2@sreflect
19,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1704932714.828;1704932715.973"",""__user_triggered__"":""true""}",2024-01-10 19:25:15.973,test4@sreflect
20,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1704932833.899;1704932835.152"",""__user_triggered__"":""true""}",2024-01-10 19:27:15.151,test4@sreflect
21,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1704932943.590;1704932944.591"",""__user_triggered__"":""true""}",2024-01-10 19:29:04.591,test4@sreflect
22,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1704943975.454;1704943978.176"",""__user_triggered__"":""true""}",2024-01-10 17:32:58.176,test2@sreflect
23,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704946015.522;1704946016.642"",""__user_triggered__"":""true""}",2024-01-10 18:06:56.641,t0001@sreflect
24,"{""Q1"":""3"",""__name__"":""daily_weekday"",""RespTime_0"":""1704998704.286;1704998705.469"",""__user_triggered__"":""true""}",2024-01-11 08:45:05.469,test4@sreflect
25,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1704998779.322;1704998780.206"",""__user_triggered__"":""true""}",2024-01-11 08:46:20.206,test4@sreflect
26,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1705014306.383;1705014307.250"",""__user_triggered__"":""true""}",2024-01-11 13:05:07.250,test4@sreflect
27,"{""Q1"":""4"",""__name__"":""daily_weekday"",""RespTime_0"":""1705024827.862;1705024836.334"",""__user_triggered__"":""false""}",2024-01-11 16:00:36.334,test4@sreflect
28,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1705024908.272;1705024909.248"",""__user_triggered__"":""true""}",2024-01-11 16:01:49.247,test4@sreflect
29,"{""Q1"":""5"",""__name__"":""daily_weekday"",""RespTime_0"":""1705025080.169;1705025080.954"",""__user_triggered__"":""true""}",2024-01-11 16:04:40.953,test4@sreflect
