,uid,bfi_extraversion,bfi_agreeableness,bfi_consc,bfi_neuro,bfi_open,brs_total,erq_cognitive,erq_expressive,panas_positive,panas_negative,pss_total,stai_total,ryffs_autonomy,ryffs_pgrowth,ryffs_posrelations,ryffs_purpose,loneliness_total,flourishing_total,ryffs_selfacceptance,ls_total,sps_total,pgis_total,sr_total,insight_total,mindfulness_total
0,t0004@sreflect,5,8,8,8,8,3.0,13,13,29,18,6,43.333333333333300,5,5,7,5,8,48,5,32,20,20,42,14,41
1,t0003@sreflect,6,7,7,4,7,3.8333333333333300,9,12,39,21,10,26.666666666666700,3,6,5,6,9,45,5,17,21,18,20,32,44
2,t0009@sreflect,5,6,6,8,6,3.3333333333333300,15,17,32,26,8,26.666666666666700,11,6,8,6,10,42,7,24,19,18,36,20,47
3,t0007@sreflect,3,4,7,4,8,2.8333333333333300,9,17,29,18,8,43.333333333333300,9,6,9,10,6,40,9,25,20,23,15,22,46
4,t0016@sreflect,10,8,9,4,4,3.0,15,5,38,12,4,43.333333333333300,8,3,5,4,6,55,5,32,12,15,29,35,52
5,t0006@sreflect,9,8,9,4,6,2.8333333333333300,17,20,43,23,5,26.666666666666700,9,5,3,6,6,53,6,29,10,23,38,36,63
6,t0014@sreflect,5,8,9,5,9,2.5,13,13,45,18,1,33.333333333333300,5,3,4,3,8,56,3,34,10,9,41,26,52
7,t0011@sreflect,4,9,6,3,8,3.0,12,16,32,14,8,43.333333333333300,8,3,6,8,9,37,4,18,16,24,17,38,47
8,t0010@sreflect,4,7,8,8,7,2.6666666666666700,15,6,40,24,9,26.666666666666700,7,5,4,7,6,46,5,31,16,22,29,34,50
9,t0015@sreflect,7,7,8,7,9,2.8333333333333300,15,14,36,24,6,40.0,11,6,6,6,9,39,5,18,21,17,29,21,43
10,t0022@sreflect,5,6,10,6,8,3.0,18,5,35,22,4,66.66666666666670,8,3,8,3,12,48,7,26,17,19,40,32,64
11,t0002@sreflect,4,4,7,8,8,3.0,15,15,32,40,9,46.66666666666670,7,8,6,6,11,32,8,20,13,21,34,19,35
12,t0020@sreflect,4,7,6,6,6,2.8333333333333300,18,13,25,15,5,60.0,8,7,8,7,8,41,8,19,20,21,33,31,52
13,t0019@sreflect,3,6,8,10,6,3.0,12,19,27,28,8,56.66666666666670,7,5,6,5,9,36,8,21,17,21,32,11,39
14,t0012@sreflect,4,8,6,4,3,3.0,17,11,27,16,6,33.333333333333300,9,9,6,8,5,36,7,17,16,22,25,36,47
15,t0008@sreflect,5,7,8,9,9,3.0,9,7,41,29,10,50.0,6,3,4,4,9,48,5,29,14,20,29,31,49
16,t0013@sreflect,6,7,6,6,6,2.6666666666666700,14,12,31,30,8,66.66666666666670,6,5,5,8,7,47,8,19,17,25,32,17,44
17,t0017@sreflect,8,8,5,7,5,2.5,16,12,39,22,7,23.333333333333300,10,6,5,3,4,48,5,18,13,17,30,28,51
18,t0005@sreflect,5,5,6,8,9,3.0,6,8,25,20,6,53.333333333333300,11,7,9,7,9,41,11,16,12,21,41,38,39
19,t0018@sreflect,3,6,8,8,6,3.0,7,13,29,27,7,33.333333333333300,6,9,8,3,8,31,11,9,21,21,28,33,42
