,data,day,uid
0,"[""Audio"",""No manual key"",""No auto key"",""What would you like to journal about today?""]",2024-01-08 16:05:50.052,t0001@sreflect
1,"[""Audio"",""No manual key"",""Seeing any new favorite spots on campus during the quieter academic term that have become your go-to places for a change of scenery or a peace of mind moment?"",""Seeing any new favorite spots on campus during the quieter academic term that have become your go-to places for a change of scenery or a peace of mind moment?""]",2024-01-08 19:54:16.382,t0001@sreflect
2,"[""Audio"",""Feeling a bit off? Reflect on one thing that went well today or one thing you're thankful for. 🌟"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""Feeling a bit off? Reflect on one thing that went well today or one thing you're thankful for. 🌟""]",2024-01-08 19:55:25.769,t0001@sreflect
3,"[""Audio"",""How did staying active today boost your mood with the relaxed academic term vibe? Thanks for sharing your experiences!"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""How did staying active today boost your mood with the relaxed academic term vibe? Thanks for sharing your experiences!""]",2024-01-08 19:57:44.240,t0001@sreflect
4,"[""Audio"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?""]",2024-01-08 19:59:20.875,t0001@sreflect
5,"[""Audio"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?""]",2024-01-08 20:01:48.450,t0001@sreflect
6,"[""Audio"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?""]",2024-01-08 20:08:13.237,t0001@sreflect
7,"[""Text"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?"",""While your daily routines seem consistent, take a moment to reflect on any subtle changes. How might your interactions or activities, even the small ones, have sparked joy or gratitude today?"",""Given the stability in your habits, how might shaking things up enhance your well-being this term?""]",2024-01-08 20:09:44.555,t0001@sreflect
8,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 08:24:13.089,t0001@sreflect
9,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 14:53:30.740,test4@sreflect
10,"[""Text"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 14:56:01.657,test4@sreflect
11,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 12:03:51.460,t0001@sreflect
12,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 12:03:57.459,t0001@sreflect
13,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-09 12:50:37.743,t0001@sreflect
14,"[""Audio"",""Exploring any new hobbies or interests now that screen time's down? How do they resonate with you?"",""With the academic term humming along, have you found an increase in your screen time helpful or something you might want to change? Reflect on how this might affect your well-being."",""Exploring any new hobbies or interests now that screen time's down? How do they resonate with you?""]",2024-01-09 16:13:08.513,t0001@sreflect
15,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-24 05:38:43.459,test5@sreflect
16,"[""Text"",""No manual key"",""With the term feeling lighter, have you taken time for a solo or group activity that sparked joy? Reflect and share."",""With the term feeling lighter, have you taken time for a solo or group activity that sparked joy? Reflect and share.""]",2024-01-10 11:46:55.701,test4@sreflect
17,"[""Audio"",""No manual key"",""No auto key"",""Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!""]",2024-01-10 10:18:21.986,test2@sreflect
18,"[""Text"",""Noticed you're exploring more. How do these new places shape your day?"",""With the term easing up, have you felt a shift in pace? Reflect on one thing you've appreciated lately and how it's lifted your spirits."",""Noticed you're exploring more. How do these new places shape your day?""]",2024-01-10 19:27:10.792,test4@sreflect
