Unnamed: 0,data,day,uid,week_per_uid
33,I've been really busy recently so I have not been on my phone as much. I do not think it has impacted my social life a lot because I am really busy with work and classes anyways. I wish I could use my phone even less so that I could be more efficient with my work and have enough time to spend with other people or by myself.,2024-02-01,t0002@sreflect,1
34,"Yes, I think it would be great because we'd catch up on many developments. Anyways, I'm currently busy, unfortunately.",2024-02-01,t0003@sreflect,1
35,"I've been doing alright, not so good on biology but I love working in the lab on cell biology.",2024-02-02,t0007@sreflect,1
36,"I've been traveling with my partner today so I had less time to check my phone. I hope this habit translates to other days as well. I had a good time being present in my social interactions today. I visited the central park zoo for the first time and did not even think about checking my phone once, so maybe all you need is to find something of interest around you to stay off your phone.",2024-02-02,t0002@sreflect,1
37,It refreshes my mind and prepares me to solve my research problems with a new perspective. It really improves my motivation.,2024-02-02,t0003@sreflect,1
38,"In general? They have boosted my self-esteem a lot. I think the times that I am upset are when people choose other people to talk to and I sit essentially in silence, unattended to.",2024-02-02,t0004@sreflect,1
39,"Yes, I am more of a listener when speaking to friends.",2024-02-02,t0007@sreflect,1
41,"My interactions generally boost my self-esteem, but I am hurt when people choose to attend to others and I end up sitting in silence.",2024-02-02,t0004@sreflect,1
42,"I have recently reached out to one of my friends in high school, but there is no one really left at Dartmouth I could catch up with except C and I don't think we have anything in common anymore . Also, I forgot her birthday and I don't remember enough to do anything now and it'd just be awkward.",2024-02-02,t0005@sreflect,1
43,"Yes, I tall to my floor mates in person and my classmates.",2024-02-03,t0007@sreflect,1
44,I'm gaining more confidence in the work I do and I hope to meet all my goals for graduation and job interviews.,2024-02-03,t0003@sreflect,1
45,I enjoy working with the pedigrees in my biology class and considering more complex gene crosses. I'm interested to learn how these principals relate to actual diseases and also other factors that contribute to the genotype/phenotype ratios not coming out as expected. I could probably find some articles to specifically read about this or go and read some unassigned chapters of the textbook.,2024-02-03,t0005@sreflect,1
46,"Loved today! had an amazing day with friends with a road trip and then movie night. The moment that made me feel on top of the world was when my experiment worked so beautifully and my PI was proud, made me feel accomplished.",2024-02-03,t0006@sreflect,1
47,Talking about my high school exploits with friends,2024-02-03,t0007@sreflect,1
48,"I am proud that I kept my promise to go to the Ukrainian play today. I felt like I was doing the right thing, and I got to have fun with a variety of people today.",2024-02-03,t0004@sreflect,1
49,"Although spending more time with others has meant fewer hours of sleep, I feel as if my sleep quality is improved.",2024-02-04,t0004@sreflect,1
50,"I'm already enjoying my hobby, which is coding. It's just that I can't figure out some big that's bothering me 😔",2024-02-04,t0003@sreflect,1
51,"Sunday is the day I take to rest and reset, so I have enough energy for my friend and family tomorrow. next week I plan on hanging out with a few new friends and getting to know them better, so I expect my social circle to diversify.",2024-02-04,t0006@sreflect,1
52,I could try asking one of my housemates to get a meal with me or texting someone to check in. i don't really have anyone I can text that I'm not already texting. I could try to make better friends with people in my classes but I don't really know how I'd do that.,2024-02-04,t0005@sreflect,1
53,I hope to be more productive next week by spending less time on my phone. It is also my birthday week and I hope to spend more time with my friends by finishing my work earlier. Spending less time on my phone hopefully will allow me to spend meaningful time with the people in my life that I care about.,2024-02-04,t0002@sreflect,1
54,"I do not know if I ""upped"" my social game today. I did catch up with some friends, but I also had an argument with my partner even though I'm so tired of having them at this point. Just because I interacted more with people does not mean those interactions were actually higher quality after all.",2024-02-05,t0002@sreflect,1
55,"I had fruitful discussions with various people today. Through exchanging ideas, I got new insights that might help me with solving my coding problems.",2024-02-05,t0003@sreflect,1
