participant_id,week,date,prompt_text,journal_response_text,behavioral_domain_category,signal_before,signal_after,signal_change,behavioral_improvement,n_features_total,n_features_improved,baseline_imputed,prompt_type
t0002@sreflect,1.0,2024-02-01,Your mobile trends show less phone use and decreased social engagement. Could this be a purposeful digital detox? How has it impacted your social life?,I've been really busy recently so I have not been on my phone as much. I do not think it has impacted my social life a lot because I am really busy with work and classes anyways. I wish I could use my phone even less so that I could be more efficient with my work and have enough time to spend with other people or by myself.,digital_habits,0.0,0.0,0.0,no,5,0,yes,REFLECTIVE
t0002@sreflect,1.0,2024-02-02,You've embraced more face-to-face chats and less screen time. How's this new social rhythm shaping your day?,"I've been traveling with my partner today so I had less time to check my phone. I hope this habit translates to other days as well. I had a good time being present in my social interactions today. I visited the central park zoo for the first time and did not even think about checking my phone once, so maybe all you need is to find something of interest around you to stay off your phone.",social_interaction,0.8052,0.2764,-0.5288,no,16,4,no,REFLECTIVE
t0002@sreflect,1.0,2024-02-04,"Seeing your digital habits improve, envision how this will boost your in-person interactions next week.",I hope to be more productive next week by spending less time on my phone. It is also my birthday week and I hope to spend more time with my friends by finishing my work earlier. Spending less time on my phone hopefully will allow me to spend meaningful time with the people in my life that I care about.,digital_habits,-0.3868,0.1617,0.5485,no,5,1,no,REDIRECTIVE
t0002@sreflect,1.0,2024-02-05,You've upped your social game—how has this refreshed your outlook or energy levels?,"I do not know if I ""upped"" my social game today. I did catch up with some friends, but I also had an argument with my partner even though I'm so tired of having them at this point. Just because I interacted more with people does not mean those interactions were actually higher quality after all.",social_interaction,-0.0554,0.4827,0.5381,yes,16,6,no,REFLECTIVE
t0002@sreflect,1.0,2024-02-07,Your screen interactions have gone up recently. Can you identify a positive interaction you had online today?,"I did not really have a positive online interaction today. My screen time went up because that's how I procrastinate on assignments. That's one ways I can let my mind of things, but of course it is a bad habit because it only makes me more stressed at the end of the day. My screen time also went up because my partner who has been visiting me the past two weeks have just left, which is why I get less social interactions now. I also try to distract myself from how much I miss him by being online.",social_interaction,0.4017,0.0846,-0.3171,no,16,4,no,REFLECTIVE
t0002@sreflect,2.0,2024-02-08,You've been cozy in your dorm more lately. How about starting your day with a stretch or a short walk to mix things up?,"It has been really tough to get out of bed lately. Also I'm pretty much busy all day so I'm not motivated to keep my mornings busy. I feel like I'm constantly sucked into things I do not want to be a part of. I feel like I am losing control and staying in during the mornings do not necessarily help, but at least I can rest.",physical_fitness,-0.03,0.1684,0.1984,yes,5,2,no,REDIRECTIVE
t0002@sreflect,2.0,2024-02-11,Your texts are up; calls are down. How does swapping out calls for texts align with your social goals this week?,"Not much. I do not usually call people anyways. My social goal is to spend less time on social media, but I'm not doing a great job with that so I don't know. I really don't feel like writing anymore, so I won't.",digital_habits,0.124,0.4263,0.3023,no,5,0,no,REDIRECTIVE
t0002@sreflect,2.0,2024-02-13,Your gym time has spiked! How does this commitment to fitness influence your daily routine and mood?,"I'm sad because I'm not as strong as I once was. I had to take a 2-month break from training due to a foot injury and I find it super hard to get back into it, especially because I struggle so much with my body image, but hopefully I will feel better soon.",physical_fitness,0.2896,0.4314,0.1419,yes,5,2,no,REFLECTIVE
t0002@sreflect,2.0,2024-02-14,Reflect on a calming activity to try before sleep that might improve your rest.,"I can try doing some light reading, or journaling maybe, but I do not have time for these things or I find them too boring. I feel like I have to keep myself constantly occupied to escape negative thoughts and feelings.",sleep,0.6184,0.5432,-0.0752,no,1,0,no,REDIRECTIVE
t0002@sreflect,3.0,2024-02-15,Your digital use has gone up recently. How do you feel it has impacted your in-person social connections and overall wellbeing?,"I scroll on Instagram a lot because I procrastinate on my work. It makes me feel worse about myself, as I feel like I am losing control over my life.",digital_habits,0.4263,0.5589,0.1326,no,5,2,no,REFLECTIVE
t0002@sreflect,3.0,2024-02-18,"Noticed your time at the gym is up. What new workout or routine inspired this change, and how does it feel integrating it?","I have been working out before, but I had to take a break because of a foot injury. It is nice to get back into it, but I feel disheartened because I've gotten so much weaker and it feels difficult to get back on the same level.",physical_fitness,0.4973,0.166,-0.3313,no,5,0,no,REFLECTIVE
t0002@sreflect,3.0,2024-02-20,I see you've been visiting new places but your calls and texts have dropped. Can you share what's drawing you to these spots and how it's impacting you?,"I've been participating in an initiation ritual for a secret society, so that explains why I have been around campus so much. I've also been really busy with my on campus jobs so I have not been able to call people as often. Some of these changes are welcome, but also stressful.",digital_habits,0.2731,-0.0527,-0.3258,yes,5,5,no,REFLECTIVE
t0002@sreflect,4.0,2024-02-22,You're swapping screen-time for face-time and the gym. How does this change impact your sense of connection and well-being?,"I feel better and accomplished that my screen time is down because that has been a goal of mine. I wish I could spend more time reading or doing stuff other than work, but I feel more productive at work too.",social_interaction,0.1915,0.0662,-0.1253,no,16,6,no,REFLECTIVE
t0002@sreflect,4.0,2024-02-25,You've been favoring texts over face-to-face chats. In what ways has this shift made your conversations more meaningful or perhaps less engaging this past week?,"I have been really busy past week with work, so I did not have time to spend with friends face-to-face, so I tried to stay connected with them through texts. I hope it worked, but also I want to spend more time with them in person.",social_interaction,0.0699,0.0993,0.0294,yes,16,8,no,REFLECTIVE
t0002@sreflect,4.0,2024-02-26,Your screen time has spiked while social app interaction dipped. Could tweaking your digital habits enhance your overall wellness next week?,Not really. I am trying to cut my screen time but it is difficult because I am really stressed throughout the day and need an outlet to let out any emotions,digital_habits,0.1982,0.1233,-0.0749,yes,5,2,no,REDIRECTIVE
t0002@sreflect,4.0,2024-02-28,"Curious, with gym time up but overall activity less, how might incorporating a quick outdoor walk boost your day and connections?","It is too muddy to be walking outside. Plus, I walk enough all day because I live quite far away from my classes.",physical_fitness,-0.0828,0.2564,0.3392,yes,5,2,no,REDIRECTIVE
