uid,day,prompt,category
t0002@sreflect,2024-02-01 21:34:57.970,Your mobile trends show less phone use and decreased social engagement. Could this be a purposeful digital detox? How has it impacted your social life?,digital_habits
t0002@sreflect,2024-02-01 21:34:57.970,You seem to have had less in-person interaction lately. Could reflecting on recent meaningful conversations highlight their value to you?,social_interaction
t0002@sreflect,2024-02-01 21:34:57.970,Your mobile trends show less phone use and decreased social engagement. Could this be a purposeful digital detox? How has it impacted your social life?,digital_habits
t0003@sreflect,2024-02-01 21:32:33.181,Your social interactions have lessened recently. Can you think of a person you haven't caught up with in a while to reconnect with? How might that feel?,social_interaction
t0003@sreflect,2024-02-01 21:32:33.181,Noticing a little less chit-chat lately? Share how you've stayed connected.,social_interaction
t0003@sreflect,2024-02-01 21:32:33.181,Your social interactions have lessened recently. Can you think of a person you haven't caught up with in a while to reconnect with? How might that feel?,social_interaction
t0007@sreflect,2024-02-02 19:52:46.200,No manual key,digital_habits
t0007@sreflect,2024-02-02 19:52:46.200,No auto key,digital_habits
t0007@sreflect,2024-02-02 19:52:46.200,"Hey there! What's up? Jot down whatever's been buzzing in your head today – random thoughts, cool moments, ups and downs. Your journal, your rules!",physical_fitness
t0002@sreflect,2024-02-02 21:14:05.492,You've embraced more face-to-face chats and less screen time. How's this new social rhythm shaping your day?,social_interaction
t0002@sreflect,2024-02-02 21:14:05.492,"Reflecting on your day, what positives arose from focusing more on face-to-face interactions rather than digital conversations?",digital_habits
t0002@sreflect,2024-02-02 21:14:05.492,You've embraced more face-to-face chats and less screen time. How's this new social rhythm shaping your day?,social_interaction
t0003@sreflect,2024-02-02 21:03:09.285,Recent trends show a noteworthy increase in your in-person connections. Reflect on how these face-to-face interactions contribute to your mood.,social_interaction
t0003@sreflect,2024-02-02 21:03:09.285,"Your recent outings seem more frequent. What new places did you explore, and how did they shift your perspective or mood?",social_interaction
t0003@sreflect,2024-02-02 21:03:09.285,Recent trends show a noteworthy increase in your in-person connections. Reflect on how these face-to-face interactions contribute to your mood.,social_interaction
t0004@sreflect,2024-02-02 21:07:19.068,Noticed you're texting less. How have recent in-person conversations impacted your day?,digital_habits
t0004@sreflect,2024-02-02 21:07:19.068,Has shortening your sleep shifted your nightly routine? Reflect on one positive change you could make tonight.,sleep
t0004@sreflect,2024-02-02 21:07:19.068,Noticed you're texting less. How have recent in-person conversations impacted your day?,digital_habits
t0007@sreflect,2024-02-02 21:11:07.440,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,social_interaction
t0007@sreflect,2024-02-02 21:11:07.440,No auto key,digital_habits
t0007@sreflect,2024-02-02 21:11:07.440,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,social_interaction
t0004@sreflect,2024-02-02 21:09:43.168,Noticed you're texting less. How have recent in-person conversations impacted your day?,digital_habits
t0004@sreflect,2024-02-02 21:09:43.168,Has shortening your sleep shifted your nightly routine? Reflect on one positive change you could make tonight.,sleep
t0004@sreflect,2024-02-02 21:09:43.168,Noticed you're texting less. How have recent in-person conversations impacted your day?,digital_habits
t0005@sreflect,2024-02-02 21:13:09.055,"Noticing a dip in social interactions, can you think of a person you've lost touch with and reach out to rekindle that connection?",social_interaction
t0005@sreflect,2024-02-02 21:13:09.055,Notice you've been less on your phone lately. How has this change impacted your daily routine or interactions?,digital_habits
t0005@sreflect,2024-02-02 21:13:09.055,"Noticing a dip in social interactions, can you think of a person you've lost touch with and reach out to rekindle that connection?",social_interaction
t0007@sreflect,2024-02-03 09:45:27.788,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,social_interaction
t0007@sreflect,2024-02-03 09:45:27.788,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,social_interaction
t0007@sreflect,2024-02-03 09:45:27.788,You've been less chatty on calls and texts lately. Got any new methods for staying connected with friends without screen time?,social_interaction
t0003@sreflect,2024-02-03 21:02:15.066,How did overcoming a challenge this week push your personal growth forward? Shoutout to your resilience! Keep thriving. 🚀,physical_fitness
t0003@sreflect,2024-02-03 21:02:15.066,"What strategy did you use this week to balance your academic responsibilities with personal time, and how did it go? Wishing you continued growth and balance!",sleep
t0003@sreflect,2024-02-03 21:02:15.066,How did overcoming a challenge this week push your personal growth forward? Shoutout to your resilience! Keep thriving. 🚀,physical_fitness
t0005@sreflect,2024-02-03 21:10:58.049,"Reflect on a class this week that sparked a new interest or idea, and how might you explore it further? Keep growing and thank you for sharing your journey!",physical_fitness
t0005@sreflect,2024-02-03 21:10:58.049,"Reflect on a small success from this week and how it felt. Remember, your growth is a series of steps!",physical_fitness
t0005@sreflect,2024-02-03 21:10:58.049,"Reflect on a class this week that sparked a new interest or idea, and how might you explore it further? Keep growing and thank you for sharing your journey!",physical_fitness
t0006@sreflect,2024-02-03 21:06:41.529,Describe the moment this week that made you feel on top of the world. Thanks for sharing your journey!,physical_fitness
t0006@sreflect,2024-02-03 21:06:41.529,"Reflect on a moment this week when you felt truly engaged. What sparked that feeling? Remember, every small step is worth celebrating. Keep going!",social_interaction
t0006@sreflect,2024-02-03 21:06:41.529,Describe the moment this week that made you feel on top of the world. Thanks for sharing your journey!,physical_fitness
t0007@sreflect,2024-02-03 21:34:11.601,Reflect on a conversation this week that uplifted you and why it stood out. Thanks for sharing your journey!,social_interaction
t0007@sreflect,2024-02-03 21:34:11.601,"Reflect on a face-to-face interaction from the past week that left an impression, and share what it taught you. Thanks for sharing your journey!",social_interaction
t0007@sreflect,2024-02-03 21:34:11.601,Reflect on a conversation this week that uplifted you and why it stood out. Thanks for sharing your journey!,social_interaction
t0004@sreflect,2024-02-03 22:14:32.835,"Reflect on a decision you made this week that you're proud of, and how it echoed through your daily life. Thanks for sharing your growth!",physical_fitness
t0004@sreflect,2024-02-03 22:14:32.835,"Reflect on a moment this week that made you smile, and why it felt special. Thanks for sharing, keep embracing the little joys!",sleep
t0004@sreflect,2024-02-03 22:14:32.835,"Reflect on a decision you made this week that you're proud of, and how it echoed through your daily life. Thanks for sharing your growth!",physical_fitness
t0004@sreflect,2024-02-04 21:03:23.907,"While connecting more in real life, how has your digital downtime affected your sleep recently?",sleep
t0004@sreflect,2024-02-04 21:03:23.907,"With your screen time trending down, how has this shaped your evening routine and sleep quality last week?",sleep
t0004@sreflect,2024-02-04 21:03:23.907,"While connecting more in real life, how has your digital downtime affected your sleep recently?",sleep
t0003@sreflect,2024-02-04 21:15:24.973,You've been connecting less on calls and spending more time in your dorm. What's one new hobby you could explore there to boost your joy?,digital_habits
t0003@sreflect,2024-02-04 21:15:24.973,"With lesser time at social gatherings this week, was there a moment that particularly warmed your heart or made you smile? Let's hear it! 🌟",social_interaction
t0003@sreflect,2024-02-04 21:15:24.973,You've been connecting less on calls and spending more time in your dorm. What's one new hobby you could explore there to boost your joy?,digital_habits
t0006@sreflect,2024-02-04 21:06:50.967,Your in-person chat time has dipped lately. Reflect on how diversifying your interaction spaces could enhance your social life this week.,social_interaction
t0006@sreflect,2024-02-04 21:06:50.967,Let's switch gears a bit - what’s one thing you did for yourself this week that felt purely positive?,sleep
t0006@sreflect,2024-02-04 21:06:50.967,Your in-person chat time has dipped lately. Reflect on how diversifying your interaction spaces could enhance your social life this week.,social_interaction
t0005@sreflect,2024-02-04 21:44:16.855,Your journal shows fewer calls and texts lately. Share one step you'll take next week to bump up your social connections.,social_interaction
t0005@sreflect,2024-02-04 21:44:16.855,Your phone use has changed. What's one positive thing from this week you've enjoyed offline?,digital_habits
t0005@sreflect,2024-02-04 21:44:16.855,Your journal shows fewer calls and texts lately. Share one step you'll take next week to bump up your social connections.,social_interaction
t0002@sreflect,2024-02-04 22:24:12.552,"Seeing your digital habits improve, envision how this will boost your in-person interactions next week.",digital_habits
t0002@sreflect,2024-02-04 22:24:12.552,"You’ve shifted towards more solo time lately. How might you sprinkle some extra connection into your routine, focusing on quality interactions?",social_interaction
t0002@sreflect,2024-02-04 22:24:12.552,"Seeing your digital habits improve, envision how this will boost your in-person interactions next week.",digital_habits
t0002@sreflect,2024-02-05 21:07:41.177,You've upped your social game—how has this refreshed your outlook or energy levels?,social_interaction
t0002@sreflect,2024-02-05 21:07:41.177,Your increased outgoing calls and messages reflect a boost in your social engagements. Was there an interaction you found uplifting?,social_interaction
t0002@sreflect,2024-02-05 21:07:41.177,You've upped your social game—how has this refreshed your outlook or energy levels?,social_interaction
t0003@sreflect,2024-02-05 21:07:04.198,"Social interactions are blooming! With your trend in meaningful conversations growing, explore one insightful topic you discussed recently and its impact on you.",social_interaction
t0003@sreflect,2024-02-05 21:07:04.198,Seen a bump in texts lately. Share a convo that brightened your day and how it contrasted your usual digital routine?,digital_habits
t0003@sreflect,2024-02-05 21:07:04.198,"Social interactions are blooming! With your trend in meaningful conversations growing, explore one insightful topic you discussed recently and its impact on you.",social_interaction
t0005@sreflect,2024-02-05 21:11:12.148,Your recent outings seem adventurous! How did a fresh setting shift your perspective?,physical_fitness
t0005@sreflect,2024-02-05 21:11:12.148,"You're exploring more places! What's one new spot that stood out, and why?",digital_habits
t0005@sreflect,2024-02-05 21:11:12.148,Your recent outings seem adventurous! How did a fresh setting shift your perspective?,physical_fitness
t0006@sreflect,2024-02-05 22:03:45.013,"As your walking time has picked up, what new destinations have captured your interest, and how did these exploratory strolls benefit you?",physical_fitness
t0006@sreflect,2024-02-05 22:03:45.013,"With more visits to new locations recently, how has exploring different environments shaped your social interactions or mood?",social_interaction
t0006@sreflect,2024-02-05 22:03:45.013,"As your walking time has picked up, what new destinations have captured your interest, and how did these exploratory strolls benefit you?",physical_fitness
t0007@sreflect,2024-02-05 22:23:32.411,Your screen time and app usage are on the rise. What are ways you could unplug for brief moments throughout the day?,digital_habits
t0007@sreflect,2024-02-05 22:23:32.411,You've been unlocking your phone a lot more lately. How does this habit align with your digital wellness goals?,digital_habits
t0007@sreflect,2024-02-05 22:23:32.411,Your screen time and app usage are on the rise. What are ways you could unplug for brief moments throughout the day?,digital_habits
t0004@sreflect,2024-02-05 22:26:43.421,"With your sleep start time increasing, consider adjusting your evening routine for better rest. What change could you make tonight?",sleep
t0004@sreflect,2024-02-05 22:26:43.421,"Your messages & in-person chats are up, while calls are down. How's texting shaping your social interactions compared to talking?",social_interaction
t0004@sreflect,2024-02-05 22:26:43.421,"With your sleep start time increasing, consider adjusting your evening routine for better rest. What change could you make tonight?",sleep
t0009@sreflect,2024-02-06 21:02:34.430,Your digital engagement is on a downtrend. What will be your strategy to enhance your digital habits tomorrow?,digital_habits
t0009@sreflect,2024-02-06 21:02:34.430,Your reduced screen time suggests a change in your digital routine. How has this shift impacted your day?,digital_habits
t0009@sreflect,2024-02-06 21:02:34.430,Your digital engagement is on a downtrend. What will be your strategy to enhance your digital habits tomorrow?,digital_habits
t0003@sreflect,2024-02-06 21:03:30.834,Your in-person interactions have taken an upbeat turn! Reflect on how diversifying your hangout spots improved these encounters.,social_interaction
t0003@sreflect,2024-02-06 21:03:30.834,Reflect on a recent in-person conversation that made you smile or gave you comfort.,social_interaction
t0003@sreflect,2024-02-06 21:03:30.834,Your in-person interactions have taken an upbeat turn! Reflect on how diversifying your hangout spots improved these encounters.,social_interaction
t0005@sreflect,2024-02-06 21:04:44.933,What's a new hobby you might explore to balance your screen time and support your newfound activity levels?,digital_habits
t0005@sreflect,2024-02-06 21:04:44.933,Noticed you've walked more but are visiting the gym less. What's a new workout you're excited to try?,physical_fitness
t0005@sreflect,2024-02-06 21:04:44.933,What's a new hobby you might explore to balance your screen time and support your newfound activity levels?,digital_habits
t0010@sreflect,2024-02-06 20:58:04.490,"Seeing as your screen time has lessened lately, what's one book or hobby you've rediscovered or might want to explore more?",digital_habits
t0010@sreflect,2024-02-06 20:58:04.490,You've been reducing screen time recently. How has this change impacted your day-to-day activities and feelings?,digital_habits
t0010@sreflect,2024-02-06 20:58:04.490,"Seeing as your screen time has lessened lately, what's one book or hobby you've rediscovered or might want to explore more?",digital_habits
t0010@sreflect,2024-02-06 21:18:06.767,"Seeing as your screen time has lessened lately, what's one book or hobby you've rediscovered or might want to explore more?",digital_habits
t0010@sreflect,2024-02-06 21:18:06.767,You've been reducing screen time recently. How has this change impacted your day-to-day activities and feelings?,digital_habits
t0010@sreflect,2024-02-06 21:18:06.767,"Seeing as your screen time has lessened lately, what's one book or hobby you've rediscovered or might want to explore more?",digital_habits
t0006@sreflect,2024-02-06 21:22:08.569,Consider experimenting with a sleep schedule tweak to wake up feeling more refreshed tomorrow. What's one change you could try tonight?,sleep
t0006@sreflect,2024-02-06 21:22:08.569,"While you’ve been walking more, your digital detox seems effective. Could less screen time be impacting your sleep? What’s one change you’ll try tonight?",physical_fitness
t0006@sreflect,2024-02-06 21:22:08.569,Consider experimenting with a sleep schedule tweak to wake up feeling more refreshed tomorrow. What's one change you could try tonight?,sleep
t0007@sreflect,2024-02-06 21:29:47.289,"Noticing you're calling more but meeting less, who made you feel most connected this week during a call?",social_interaction
t0007@sreflect,2024-02-06 21:29:47.289,"While your steps are up, your gym time's vanished. How could you incorporate brief fitness routines into your daily walk?",physical_fitness
t0007@sreflect,2024-02-06 21:29:47.289,"Noticing you're calling more but meeting less, who made you feel most connected this week during a call?",social_interaction
t0008@sreflect,2024-02-06 21:08:23.351,Noticing some more quiet evenings? Consider creating a wind-down routine centered around a restful night's sleep. What might that look like for you?,sleep
t0008@sreflect,2024-02-06 21:08:23.351,Reflect on something positive that happened today. How did it improve your day?,digital_habits
t0008@sreflect,2024-02-06 21:08:23.351,Noticing some more quiet evenings? Consider creating a wind-down routine centered around a restful night's sleep. What might that look like for you?,sleep
t0012@sreflect,2024-02-06 21:30:15.466,"Though your screen time is down, consider the impact of less digital interaction on your overall well-being. How might you balance online and offline activities tomorrow?",digital_habits
t0012@sreflect,2024-02-06 21:30:15.466,"Noticing your screen time has dipped lately, what's one enjoyable non-digital activity you've recently rediscovered?",digital_habits
t0012@sreflect,2024-02-06 21:30:15.466,"Though your screen time is down, consider the impact of less digital interaction on your overall well-being. How might you balance online and offline activities tomorrow?",digital_habits
t0004@sreflect,2024-02-06 22:19:42.178,You've been walking more yet traveling less distance. How might short but frequent walks benefit you?,physical_fitness
t0004@sreflect,2024-02-06 22:19:42.178,You're spending more time walking lately! How does this align with your fitness goals?,physical_fitness
t0004@sreflect,2024-02-06 22:19:42.178,You've been walking more yet traveling less distance. How might short but frequent walks benefit you?,physical_fitness
t0011@sreflect,2024-02-06 22:32:31.335,"It seems your screen time has gone down recently. How do you feel about the digital space you've reclaimed, and what did you do with that extra time?",digital_habits
t0011@sreflect,2024-02-06 22:32:31.335,Your screen time is down lately. Can you think of one mindful activity you could do during these extra offline moments?,digital_habits
t0011@sreflect,2024-02-06 22:32:31.335,"It seems your screen time has gone down recently. How do you feel about the digital space you've reclaimed, and what did you do with that extra time?",digital_habits
t0008@sreflect,2024-02-07 21:05:37.364,"With your evenings getting quieter, how might a little stretching or yoga add to your wind-down routine tonight?",physical_fitness
t0008@sreflect,2024-02-07 21:05:37.364,Your screen time seems to have gone up lately. What activity could you replace it with to boost your sleep quality tonight?,sleep
t0008@sreflect,2024-02-07 21:05:37.364,"With your evenings getting quieter, how might a little stretching or yoga add to your wind-down routine tonight?",physical_fitness
t0011@sreflect,2024-02-07 21:02:06.302,You've amped up your social game lately! Which new spot have you explored and how did it shape your day?,social_interaction
t0011@sreflect,2024-02-07 21:02:06.302,"Noticing your conversational circles have widened recently, what new connections have you made, and how have these interactions enriched your day?",social_interaction
t0011@sreflect,2024-02-07 21:02:06.302,You've amped up your social game lately! Which new spot have you explored and how did it shape your day?,social_interaction
t0003@sreflect,2024-02-07 21:20:31.391,You've been more focused offline lately. How has decreasing screen time opened up new ways for you to relax or engage with hobbies?,digital_habits
t0003@sreflect,2024-02-07 21:20:31.391,"Your phone unlocks are on the rise. What's drawing you to unlock more often, and how might balancing digital use benefit your day tomorrow?",digital_habits
t0003@sreflect,2024-02-07 21:20:31.391,You've been more focused offline lately. How has decreasing screen time opened up new ways for you to relax or engage with hobbies?,digital_habits
t0005@sreflect,2024-02-07 21:06:13.617,"Noticing fewer texts and chill time at home, could you share a recent uplifting interaction that happened somewhere new?",social_interaction
t0005@sreflect,2024-02-07 21:06:13.617,"Reflecting on your increased outgoing texts, what's a message you sent recently that made you smile?",digital_habits
t0005@sreflect,2024-02-07 21:06:13.617,"Noticing fewer texts and chill time at home, could you share a recent uplifting interaction that happened somewhere new?",social_interaction
t0006@sreflect,2024-02-07 21:09:03.750,You've been visiting more places lately. Reflect on a spot that stood out and why it resonated with you.,social_interaction
t0006@sreflect,2024-02-07 21:09:03.750,"Your phone unlocks are up but screen time is down. What offline activities have filled these gaps, and how do they resonate with you?",digital_habits
t0006@sreflect,2024-02-07 21:09:03.750,You've been visiting more places lately. Reflect on a spot that stood out and why it resonated with you.,social_interaction
t0009@sreflect,2024-02-07 21:02:42.891,Notice you've amped up your face-to-face chats lately. How are these increased personal interactions influencing your daily routine?,social_interaction
t0009@sreflect,2024-02-07 21:02:42.891,Your convos have really amped up. Can you share one that brightened your day?,social_interaction
t0009@sreflect,2024-02-07 21:02:42.891,Notice you've amped up your face-to-face chats lately. How are these increased personal interactions influencing your daily routine?,social_interaction
t0010@sreflect,2024-02-07 21:32:56.362,You've been favoring in-person chats over texts lately. What's a recent face-to-face conversation that left a positive mark on you?,social_interaction
t0010@sreflect,2024-02-07 21:32:56.362,Your recent uptick in in-person conversations is interesting! Can you share a standout interaction you had and why it was memorable?,social_interaction
t0010@sreflect,2024-02-07 21:32:56.362,You've been favoring in-person chats over texts lately. What's a recent face-to-face conversation that left a positive mark on you?,social_interaction
t0012@sreflect,2024-02-07 21:19:09.532,"Though your screen time is down, consider the impact of less digital interaction on your overall well-being. How might you balance online and offline activities tomorrow?",digital_habits
t0012@sreflect,2024-02-07 21:19:09.532,Your uptick in social interactions is impressive! How could blending these with a good night's rest benefit you?,sleep
t0012@sreflect,2024-02-07 21:19:09.532,"Though your screen time is down, consider the impact of less digital interaction on your overall well-being. How might you balance online and offline activities tomorrow?",digital_habits
t0004@sreflect,2024-02-07 21:16:38.645,You're reaching out more but spending less time in dialogue. How could this affect your social connections?,social_interaction
t0004@sreflect,2024-02-07 21:16:38.645,"Your chats show you're reaching out more lately! What's behind this uptick in outgoing calls, and how has it influenced your social well-being?",social_interaction
t0004@sreflect,2024-02-07 21:16:38.645,You're reaching out more but spending less time in dialogue. How could this affect your social connections?,social_interaction
t0007@sreflect,2024-02-07 22:39:20.470,"Your gym visits are up. What's new in your workout routine, and how does it impact your day?",physical_fitness
t0007@sreflect,2024-02-07 22:39:20.470,Who's someone you met in person lately? Describe one positive takeaway from that interaction.,social_interaction
t0007@sreflect,2024-02-07 22:39:20.470,"Your gym visits are up. What's new in your workout routine, and how does it impact your day?",physical_fitness
