Unnamed: 0,data,day,uid,week_per_uid
33,I've been really busy recently so I have not been on my phone as much. I do not think it has impacted my social life a lot because I am really busy with work and classes anyways. I wish I could use my phone even less so that I could be more efficient with my work and have enough time to spend with other people or by myself.,2024-02-01 21:32:17.911,t0002@sreflect,
34,"Yes, I think it would be great because we'd catch up on many developments. Anyways, I'm currently busy, unfortunately.",2024-02-01 21:30:20.216,t0003@sreflect,
35,"I've been doing alright, not so good on biology but I love working in the lab on cell biology.",2024-02-02 19:51:13.226,t0007@sreflect,
36,"I've been traveling with my partner today so I had less time to check my phone. I hope this habit translates to other days as well. I had a good time being present in my social interactions today. I visited the central park zoo for the first time and did not even think about checking my phone once, so maybe all you need is to find something of interest around you to stay off your phone.",2024-02-02 21:11:23.954,t0002@sreflect,
37,It refreshes my mind and prepares me to solve my research problems with a new perspective. It really improves my motivation.,2024-02-02 21:01:03.961,t0003@sreflect,
38,"In general? They have boosted my self-esteem a lot. I think the times that I am upset are when people choose other people to talk to and I sit essentially in silence, unattended to.",2024-02-02 21:04:33.328,t0004@sreflect,
39,"Yes, I am more of a listener when speaking to friends.",2024-02-02 21:06:33.782,t0007@sreflect,
41,"My interactions generally boost my self-esteem, but I am hurt when people choose to attend to others and I end up sitting in silence.",2024-02-02 21:07:45.918,t0004@sreflect,
42,"I have recently reached out to one of my friends in high school, but there is no one really left at Dartmouth I could catch up with except C and I don't think we have anything in common anymore . Also, I forgot her birthday and I don't remember enough to do anything now and it'd just be awkward.",2024-02-02 21:10:00.372,t0005@sreflect,
43,"Yes, I tall to my floor mates in person and my classmates.",2024-02-03 09:44:04.532,t0007@sreflect,
44,I'm gaining more confidence in the work I do and I hope to meet all my goals for graduation and job interviews.,2024-02-03 21:00:11.430,t0003@sreflect,
45,I enjoy working with the pedigrees in my biology class and considering more complex gene crosses. I'm interested to learn how these principals relate to actual diseases and also other factors that contribute to the genotype/phenotype ratios not coming out as expected. I could probably find some articles to specifically read about this or go and read some unassigned chapters of the textbook.,2024-02-03 21:07:38.223,t0005@sreflect,
