uid,unlock_duration_ep_0_w1,unlock_duration_ep_0_w6,unlock_duration_ep_0_w7,unlock_duration_ep_0_w8,unlock_num_ep_0_w1,unlock_num_ep_0_w6,unlock_num_ep_0_w7,unlock_num_ep_0_w8
t0002@sreflect,12398.318142857142,3203.4404285714277,922.8509999999999,4976.4039999999995,125.14285714285714,24.142857142857142,16.428571428571427,54.333333333333336
t0003@sreflect,24722.33128571429,30286.694714285717,28837.605857142862,28631.433571428573,94.57142857142857,79.0,117.14285714285714,150.14285714285714
t0004@sreflect,10005.824142857145,9553.460249999998,17992.581428571426,20376.235,67.28571428571429,53.5,72.71428571428571,91.4
t0005@sreflect,20054.856285714282,17572.20842857143,17853.216571428573,19206.874571428576,263.42857142857144,217.42857142857142,196.42857142857142,195.0
t0006@sreflect,14243.838142857143,20861.15014285714,23354.082285714285,17111.744499999997,203.28571428571428,217.85714285714286,227.28571428571428,111.75
t0007@sreflect,17342.757857142857,20541.209142857144,3707.5521428571424,2286.6902,40.42857142857143,47.42857142857143,8.285714285714286,3.8
t0008@sreflect,12982.116857142859,13153.596142857143,14874.999428571426,9226.616000000002,247.42857142857142,211.71428571428572,187.42857142857142,197.5
t0009@sreflect,24455.59442857143,31033.33842857143,27112.556142857145,20839.01257142857,60.285714285714285,56.42857142857143,71.85714285714286,77.85714285714286
t0010@sreflect,8332.133,8530.611857142858,12620.851142857142,,122.14285714285714,131.42857142857142,144.57142857142858,
t0011@sreflect,18646.572285714283,12283.090142857141,15537.615714285714,,84.42857142857143,151.42857142857142,134.0,
t0012@sreflect,23055.18614285714,10596.524714285715,19103.698999999997,23510.46185714286,85.14285714285714,80.42857142857143,138.85714285714286,76.71428571428571
t0013@sreflect,10665.820000000002,14120.203571428565,19534.16357142857,16270.000285714286,76.14285714285714,196.0,126.28571428571429,108.14285714285714
t0014@sreflect,584.3036666666666,32204.71657142858,25771.919666666665,,14.333333333333334,368.57142857142856,376.5,
t0015@sreflect,16199.503200000001,19234.279666666665,14549.48733333333,,85.4,45.666666666666664,56.833333333333336,
t0016@sreflect,13449.009142857143,12846.712285714286,10619.708800000002,,76.42857142857143,83.0,83.0,
t0017@sreflect,95.135,17734.50671428572,8418.663,,4.0,108.28571428571429,100.42857142857143,
t0018@sreflect,22659.066571428575,24613.13814285714,24983.215142857145,22367.606,123.14285714285714,220.28571428571428,118.57142857142857,69.5
t0019@sreflect,17568.393428571417,17947.240285714284,,,335.7142857142857,331.42857142857144,,
t0020@sreflect,5177.7577142857135,8929.656333333332,,,55.714285714285715,56.666666666666664,,
t0022@sreflect,6856.153571428572,10544.925599999999,,,73.85714285714286,111.6,,
