,Unnamed: 0.1,Unnamed: 0,data,day,uid,week_per_uid,sentiment,phase,top_emotion,top_emotion_score,all_top_emotions
0,0,33,I've been really busy recently so I have not been on my phone as much. I do not think it has impacted my social life a lot because I am really busy with work and classes anyways. I wish I could use my phone even less so that I could be more efficient with my work and have enough time to spend with other people or by myself.,2024-02-01,t0002@sreflect,1,0.6997,contextual,desire,0.7484655976295471,"[('desire', 0.7484655976295471), ('neutral', 0.11033232510089874), ('disappointment', 0.04771168902516365)]"
1,3,36,"I've been traveling with my partner today so I had less time to check my phone. I hope this habit translates to other days as well. I had a good time being present in my social interactions today. I visited the central park zoo for the first time and did not even think about checking my phone once, so maybe all you need is to find something of interest around you to stay off your phone.",2024-02-02,t0002@sreflect,1,0.872,contextual,joy,0.7072819471359253,"[('joy', 0.7072819471359253), ('optimism', 0.42077890038490295), ('admiration', 0.11322187632322311)]"
2,19,53,I hope to be more productive next week by spending less time on my phone. It is also my birthday week and I hope to spend more time with my friends by finishing my work earlier. Spending less time on my phone hopefully will allow me to spend meaningful time with the people in my life that I care about.,2024-02-04,t0002@sreflect,1,0.9517,contextual,optimism,0.8598862290382385,"[('optimism', 0.8598862290382385), ('desire', 0.37254413962364197), ('caring', 0.05095228925347328)]"
3,20,54,"I do not know if I ""upped"" my social game today. I did catch up with some friends, but I also had an argument with my partner even though I'm so tired of having them at this point. Just because I interacted more with people does not mean those interactions were actually higher quality after all.",2024-02-05,t0002@sreflect,1,-0.808,contextual,confusion,0.33168163895606995,"[('confusion', 0.33168163895606995), ('disappointment', 0.1998695582151413), ('neutral', 0.1698956936597824)]"
4,47,81,"I did not really have a positive online interaction today. My screen time went up because that's how I procrastinate on assignments. That's one ways I can let my mind of things, but of course it is a bad habit because it only makes me more stressed at the end of the day. My screen time also went up because my partner who has been visiting me the past two weeks have just left, which is why I get less social interactions now. I also try to distract myself from how much I miss him by being online.",2024-02-07,t0002@sreflect,1,-0.8899,contextual,disappointment,0.44404149055480957,"[('disappointment', 0.44404149055480957), ('sadness', 0.21433019638061523), ('neutral', 0.16324752569198608)]"
5,49,83,"It has been really tough to get out of bed lately. Also I'm pretty much busy all day so I'm not motivated to keep my mornings busy. I feel like I'm constantly sucked into things I do not want to be a part of. I feel like I am losing control and staying in during the mornings do not necessarily help, but at least I can rest.",2024-02-08,t0002@sreflect,2,-0.2978,contextual,disappointment,0.627682626247406,"[('disappointment', 0.627682626247406), ('annoyance', 0.21832142770290375), ('sadness', 0.11122191697359085)]"
6,72,106,"My boyfriend sent me a very heartfelt message, apoligizing for a few fights we had in the last. He is currently in China, visiting family and I miss him very much. It makes me happy that he texts me updates throughout the day, as it is hard to FaceTime as often due to the time difference. Despite the challenges, he always makes me feel loved.",2024-02-10,t0002@sreflect,2,0.8162,contextual,love,0.6302242875099182,"[('love', 0.6302242875099182), ('sadness', 0.39336782693862915), ('joy', 0.23398135602474213)]"
7,82,116,"Not much. I do not usually call people anyways. My social goal is to spend less time on social media, but I'm not doing a great job with that so I don't know. I really don't feel like writing anymore, so I won't.",2024-02-11,t0002@sreflect,2,-0.8177,contextual,disapproval,0.6850185394287109,"[('disapproval', 0.6850185394287109), ('disappointment', 0.36016756296157837), ('annoyance', 0.14501187205314636)]"
8,90,124,My friends have been a positive influence. They cooked dumplings for my birthday a few days ago and that made me so happy. I'm glad and grateful that I have such people in my life.,2024-02-12,t0002@sreflect,2,0.9546,contextual,joy,0.8500421643257141,"[('joy', 0.8500421643257141), ('admiration', 0.13795043528079987), ('gratitude', 0.08912348002195358)]"
9,110,144,"I'm sad because I'm not as strong as I once was. I had to take a 2-month break from training due to a foot injury and I find it super hard to get back into it, especially because I struggle so much with my body image, but hopefully I will feel better soon.",2024-02-13,t0002@sreflect,2,0.6208,contextual,sadness,0.7779875993728638,"[('sadness', 0.7779875993728638), ('disappointment', 0.22785714268684387), ('optimism', 0.13910767436027527)]"
10,115,149,"I can try doing some light reading, or journaling maybe, but I do not have time for these things or I find them too boring. I feel like I have to keep myself constantly occupied to escape negative thoughts and feelings.",2024-02-14,t0002@sreflect,2,-0.5719,contextual,disappointment,0.5504267811775208,"[('disappointment', 0.5504267811775208), ('neutral', 0.2752782106399536), ('disapproval', 0.11528663337230682)]"
11,131,165,"I scroll on Instagram a lot because I procrastinate on my work. It makes me feel worse about myself, as I feel like I am losing control over my life.",2024-02-15,t0002@sreflect,3,-0.4939,contextual,disappointment,0.44103795289993286,"[('disappointment', 0.44103795289993286), ('sadness', 0.3011802136898041), ('annoyance', 0.22686408460140228)]"
12,159,193,"My challenge last week was to keep working despite having no motivation to do so. It was a challenge to simply get out of bed in the morning. I could not figure out a way to overcome it yet. I just push through everyday the best I can, but it is not sustainable.",2024-02-17,t0002@sreflect,3,0.5079,contextual,disappointment,0.5179048776626587,"[('disappointment', 0.5179048776626587), ('neutral', 0.2859160304069519), ('disapproval', 0.14661230146884918)]"
13,174,208,"I have been working out before, but I had to take a break because of a foot injury. It is nice to get back into it, but I feel disheartened because I've gotten so much weaker and it feels difficult to get back on the same level.",2024-02-18,t0002@sreflect,3,-0.9156,contextual,sadness,0.7831013202667236,"[('sadness', 0.7831013202667236), ('disappointment', 0.25160476565361023), ('neutral', 0.03671549633145332)]"
14,200,234,"I've been participating in an initiation ritual for a secret society, so that explains why I have been around campus so much. I've also been really busy with my on campus jobs so I have not been able to call people as often. Some of these changes are welcome, but also stressful.",2024-02-20,t0002@sreflect,3,-0.5346,contextual,approval,0.19641590118408203,"[('approval', 0.19641590118408203), ('neutral', 0.1283622831106186), ('disappointment', 0.1282825618982315)]"
15,212,246,I like reading and playing video games. I have been trying to finish up my work early so that I can play a bit before bed time to relax before sleep. Otherwise I feel too tense to sleep. I have deleted my Instagram account which was wasting a lot of my time. Hopefully I will be able to be more productive during the day so that I can de-stress at night.,2024-02-21,t0002@sreflect,3,0.7351,contextual,optimism,0.7225808501243591,"[('optimism', 0.7225808501243591), ('desire', 0.20073311030864716), ('love', 0.1843424290418625)]"
16,227,261,"I feel better and accomplished that my screen time is down because that has been a goal of mine. I wish I could spend more time reading or doing stuff other than work, but I feel more productive at work too.",2024-02-22,t0002@sreflect,4,0.5789,contextual,desire,0.8109568953514099,"[('desire', 0.8109568953514099), ('neutral', 0.0616152249276638), ('optimism', 0.06092532351613045)]"
17,255,289,"I was really nervous about asking my professor about thesis advising, but after I talked with him I realized I've been exaggerating my worries in my head. He was actually very willing to help and I feel more at ease now.",2024-02-24,t0002@sreflect,4,0.2884,contextual,realization,0.6872158050537109,"[('realization', 0.6872158050537109), ('approval', 0.19831374287605286), ('nervousness', 0.10970058292150497)]"
18,272,306,"I have been really busy past week with work, so I did not have time to spend with friends face-to-face, so I tried to stay connected with them through texts. I hope it worked, but also I want to spend more time with them in person.",2024-02-25,t0002@sreflect,4,0.5346,contextual,desire,0.7655158042907715,"[('desire', 0.7655158042907715), ('optimism', 0.20097623765468597), ('neutral', 0.08455867320299149)]"
19,279,313,Not really. I am trying to cut my screen time but it is difficult because I am really stressed throughout the day and need an outlet to let out any emotions,2024-02-26,t0002@sreflect,4,-0.8095,contextual,disappointment,0.26412081718444824,"[('disappointment', 0.26412081718444824), ('sadness', 0.24745915830135345), ('neutral', 0.1197279542684555)]"
20,296,330,I tried chicken dumpling soup for the first time and it just reminded me how much good food makes me happy. I should start healing my relationship with food instead of restricting my food intake due to body image concerns.,2024-02-27,t0002@sreflect,4,0.6597,contextual,joy,0.7561209797859192,"[('joy', 0.7561209797859192), ('approval', 0.21690428256988525), ('admiration', 0.11248915642499924)]"
21,313,347,"It is too muddy to be walking outside. Plus, I walk enough all day because I live quite far away from my classes.",2024-02-28,t0002@sreflect,4,0.0,contextual,neutral,0.6102113127708435,"[('neutral', 0.6102113127708435), ('approval', 0.10127083957195282), ('annoyance', 0.08768857270479202)]"
22,328,362,I feel like I do not have enough time to try a new sport because finals are starting.,2024-02-29,t0002@sreflect,5,0.3612,contextual,disappointment,0.5943426489830017,"[('disappointment', 0.5943426489830017), ('annoyance', 0.28794097900390625), ('neutral', 0.1492098718881607)]"
23,369,403,One of my best friend is a great support as he is always honest about his feelings. Him being able to open up to me makes it easier for me to be vulnerable too.,2024-03-03,t0002@sreflect,5,0.9607,contextual,admiration,0.5417120456695557,"[('admiration', 0.5417120456695557), ('approval', 0.3653974235057831), ('caring', 0.23209911584854126)]"
24,1,34,"Yes, I think it would be great because we'd catch up on many developments. Anyways, I'm currently busy, unfortunately.",2024-02-01,t0003@sreflect,1,0.6597,contextual,approval,0.47700175642967224,"[('approval', 0.47700175642967224), ('admiration', 0.18176355957984924), ('disappointment', 0.10113057494163513)]"
25,4,37,It refreshes my mind and prepares me to solve my research problems with a new perspective. It really improves my motivation.,2024-02-02,t0003@sreflect,1,0.5936,contextual,approval,0.3929092586040497,"[('approval', 0.3929092586040497), ('joy', 0.36274853348731995), ('relief', 0.15545178949832916)]"
26,10,44,I'm gaining more confidence in the work I do and I hope to meet all my goals for graduation and job interviews.,2024-02-03,t0003@sreflect,1,0.8516,contextual,optimism,0.899256706237793,"[('optimism', 0.899256706237793), ('desire', 0.2930746078491211), ('approval', 0.046702515333890915)]"
27,16,50,"I'm already enjoying my hobby, which is coding. It's just that I can't figure out some big that's bothering me 😔",2024-02-04,t0003@sreflect,1,0.2732,contextual,joy,0.7173749208450317,"[('joy', 0.7173749208450317), ('sadness', 0.07631009072065353), ('disappointment', 0.06273172050714493)]"
28,21,55,"I had fruitful discussions with various people today. Through exchanging ideas, I got new insights that might help me with solving my coding problems.",2024-02-05,t0003@sreflect,1,0.34,contextual,approval,0.38304823637008667,"[('approval', 0.38304823637008667), ('joy', 0.2406436949968338), ('neutral', 0.13337595760822296)]"
29,27,61,"It allowed me to take a break from research work, and in the process, I gained new insults that are useful to my work.",2024-02-06,t0003@sreflect,1,0.4019,contextual,approval,0.4332134425640106,"[('approval', 0.4332134425640106), ('neutral', 0.22618843615055084), ('joy', 0.12381817400455475)]"
30,39,73,It has allowed me to think and internalize concepts more intently. It's great for my research work indeed 😁,2024-02-07,t0003@sreflect,1,0.8107,contextual,admiration,0.9340587854385376,"[('admiration', 0.9340587854385376), ('approval', 0.16329394280910492), ('neutral', 0.018497392535209656)]"
31,52,86,"It keeps my blood flowing, which is good for my overall health. Though I think I need to work out a little more.",2024-02-08,t0003@sreflect,2,0.4404,contextual,approval,0.4606649875640869,"[('approval', 0.4606649875640869), ('admiration', 0.1948549747467041), ('neutral', 0.17336659133434296)]"
32,70,104,I feel connected to way more people and less stressed as a result. I think it's been a great thing to do.,2024-02-10,t0003@sreflect,2,0.4576,contextual,admiration,0.8809314370155334,"[('admiration', 0.8809314370155334), ('approval', 0.15148082375526428), ('joy', 0.0939640998840332)]"
33,73,107,Very positively. Interacting with people not only frees my mind from intense brain activity but it also changes my mood positively and allows me to improve my confidence and style of communication.,2024-02-10,t0003@sreflect,2,0.9428,contextual,approval,0.6455658674240112,"[('approval', 0.6455658674240112), ('admiration', 0.27990636229515076), ('joy', 0.11721692979335785)]"
