uid,loc_workout_dur_pct_change,act_on_bike_ep_0_pct_change,act_on_bike_ep_1_pct_change,act_on_bike_ep_2_pct_change,act_on_bike_ep_3_pct_change,act_on_bike_ep_4_pct_change,act_on_foot_ep_0_pct_change,act_on_foot_ep_1_pct_change,act_on_foot_ep_2_pct_change,act_on_foot_ep_3_pct_change,act_on_foot_ep_4_pct_change,act_walking_ep_0_pct_change,act_walking_ep_1_pct_change,act_walking_ep_2_pct_change,act_walking_ep_3_pct_change,act_walking_ep_4_pct_change,act_running_ep_0_pct_change,act_running_ep_1_pct_change,act_running_ep_2_pct_change,act_running_ep_3_pct_change,act_running_ep_4_pct_change
t0002@sreflect,,335.4838709677419,inf,,,-100.0,,,,,,-92.29940571305457,inf,-62.18097447795823,-97.06194690265487,-100.0,-100.0,,-100.0,-100.0,-100.0
t0003@sreflect,,94.44444444444446,,,,94.44444444444446,,,,,,56.8569310600445,-49.935483870967744,7.360308285163775,7.47193186217576,186.2135922330097,2933.333333333334,,,,2933.333333333334
t0004@sreflect,,,,,,,,,,,,-62.37023229136794,,-91.34831460674158,-17.34632623659357,-84.52447163515016,,,,,
t0005@sreflect,-100.0,209.16666666666669,,359.99999999999994,-100.0,567.9999999999999,,,,,,-44.94547200096005,inf,-45.234579661824235,-29.575466120067794,-69.67830927631903,inf,,inf,inf,inf
t0006@sreflect,,-100.0,,,-100.0,,,,,,,41.56082484184091,,42.07350521119034,46.90061271584308,-41.98113207547169,inf,,,inf,
t0007@sreflect,-100.0,,,,,,,,,,,-25.667904200334874,-55.00553097345132,-45.76897976941482,-15.197722239797532,-15.71133693235946,562.6506024096384,-100.0,,inf,
t0008@sreflect,,648.4162895927601,,,inf,540.7239819004525,,,,,,16.192862420095715,,40.40970772442588,-0.9625929084927447,29.80292074294627,52.941176470588225,,84.472049689441,-66.66666666666666,3.3333333333333424
t0009@sreflect,,,,,,,,,,,,1.1347277500211683,27.12418300653594,-18.375717801476622,1.1288805268109052,3.333333333333327,,,,,
t0010@sreflect,,527.3195876288661,,inf,inf,-100.0,,,,,,-7.738983187517641,-100.0,-17.968608238069322,-2.1300055129554627,8.819212808539016,-46.87402313222883,,-90.47384817183145,65.68627450980392,1244.6700507614212
t0011@sreflect,,3995.7142857142853,inf,409.99999999999994,inf,inf,,,,,,48.77083723543737,24.91239248168207,-56.38101109741061,86.29003422383408,84.20693686671864,inf,,,inf,inf
t0012@sreflect,-84.05356750995074,inf,,,inf,inf,,,,,,239.73836052526858,inf,-18.216044019693015,321.0908718788375,520.6363105662581,177.7272727272728,inf,,-100.0,inf
t0013@sreflect,-100.0,inf,,inf,inf,inf,,,,,,176.09037873877207,9.21325051759835,184.28541091526867,161.5304888581793,243.10701956271578,-51.92307692307692,,-40.47619047619047,-100.0,
t0014@sreflect,,inf,inf,inf,,inf,,,,,,4243.98766700925,inf,2628.8018433179723,2089.6103896103896,inf,inf,,inf,,inf
t0015@sreflect,,-100.0,,,-100.0,-100.0,,,,,,-46.88513300238171,89.43635684957073,-98.1544347451234,-8.289851985943992,-55.9733028637757,inf,,inf,,
t0016@sreflect,,,,,,,,,,,,18.854448056407687,,159.69905135754004,-32.29010989010989,-45.33547794117647,,,,,
t0017@sreflect,,,,,,,,,,,,112.80998022212083,,inf,-50.737867031796746,inf,,,,,
t0018@sreflect,,-100.0,,,-100.0,,,,,,,129.77674345219313,685.2040816326531,242.07357859531774,93.7737753280025,147.12430426716142,inf,inf,,,
t0019@sreflect,,48.480463096960925,,-80.44096728307255,256.3747228381375,-8.144796380090503,,,,,,1.196928055890887,,30.24881605652859,-23.065391574050132,14.383452665075572,-24.567901234567913,,8935.000000000002,-61.42174184161296,-89.65517241379311
t0020@sreflect,,171.75648702594805,,inf,-100.0,,,,,,,-4.2824638387778275,-100.0,102.20125786163523,-20.330790725776012,-80.3453628249903,-68.60967184801383,-100.0,-79.6217594560136,-30.466666666666665,-100.0
t0022@sreflect,,-16.955210025527965,,-100.0,82.01424211597153,,,,,,,-0.6323670764405254,inf,41.46774193548386,-3.4507113308445185,-32.73794002607562,127.6767676767677,,-26.818181818181824,inf,-100.0
