uid,day,week_per_uid
t0002@sreflect,2024-02-01,1
t0002@sreflect,2024-02-02,1
t0002@sreflect,2024-02-03,1
t0002@sreflect,2024-02-04,1
t0002@sreflect,2024-02-05,1
t0002@sreflect,2024-02-06,1
t0002@sreflect,2024-02-07,1
t0002@sreflect,2024-02-08,2
t0002@sreflect,2024-02-09,2
t0002@sreflect,2024-02-10,2
t0002@sreflect,2024-02-11,2
t0002@sreflect,2024-02-12,2
t0002@sreflect,2024-02-13,2
t0002@sreflect,2024-02-14,2
t0002@sreflect,2024-02-15,3
t0002@sreflect,2024-02-16,3
t0002@sreflect,2024-02-17,3
t0002@sreflect,2024-02-18,3
t0002@sreflect,2024-02-19,3
t0002@sreflect,2024-02-20,3
t0002@sreflect,2024-02-21,3
t0002@sreflect,2024-02-22,4
t0002@sreflect,2024-02-23,4
t0002@sreflect,2024-02-24,4
t0002@sreflect,2024-02-25,4
t0002@sreflect,2024-02-26,4
t0002@sreflect,2024-02-27,4
t0002@sreflect,2024-02-28,4
t0002@sreflect,2024-02-29,5
t0002@sreflect,2024-03-01,5
t0002@sreflect,2024-03-02,5
t0002@sreflect,2024-03-03,5
t0002@sreflect,2024-03-04,5
t0002@sreflect,2024-03-05,5
t0002@sreflect,2024-03-06,5
t0002@sreflect,2024-03-07,6
t0002@sreflect,2024-03-08,6
t0002@sreflect,2024-03-09,6
t0002@sreflect,2024-03-10,6
t0002@sreflect,2024-03-11,6
t0002@sreflect,2024-03-12,6
t0002@sreflect,2024-03-13,6
t0002@sreflect,2024-03-14,7
t0002@sreflect,2024-03-15,7
t0002@sreflect,2024-03-16,7
t0002@sreflect,2024-03-17,7
t0002@sreflect,2024-03-18,7
t0002@sreflect,2024-03-19,7
t0002@sreflect,2024-03-20,7
t0002@sreflect,2024-03-21,8
t0002@sreflect,2024-03-22,8
t0002@sreflect,2024-03-23,8
t0002@sreflect,2024-03-24,8
t0002@sreflect,2024-03-25,8
t0002@sreflect,2024-03-26,8
t0003@sreflect,2024-02-01,1
